Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
C17ORF97	17p13.3	7.05	6.47	0.82	0.91	0.58	8.360e-5	8.526e-3	(A) BLACK OR AFRICAN AMERICAN
SYMPK	19q13.32	11.33	11.15	0.26	0.32	0.18	8.787e-5	8.871e-3	(A) BLACK OR AFRICAN AMERICAN
MSTN	2q32.2	3.41	2.74	0.95	1.10	0.67	8.969e-5	9.010e-3	(A) BLACK OR AFRICAN AMERICAN
IDH2	15q26.1	12.15	11.84	0.43	0.46	0.30	9.200e-5	9.182e-3	(A) BLACK OR AFRICAN AMERICAN
OCLN	5q13.2	8.02	8.58	0.80	0.90	-0.56	9.232e-5	9.182e-3	(B) WHITE
KPTN	19q13.32	7.74	7.47	0.37	0.53	0.27	9.318e-5	9.222e-3	(A) BLACK OR AFRICAN AMERICAN
DESI2	1q44	9.26	9.51	0.35	0.38	-0.25	9.506e-5	9.301e-3	(B) WHITE
GAS2L1P2	9q22.33	0.96	0.42	0.79	0.55	0.53	9.517e-5	9.301e-3	(A) BLACK OR AFRICAN AMERICAN
CCL4L1	17q12	5.57	4.58	1.43	1.50	0.99	9.537e-5	9.301e-3	(A) BLACK OR AFRICAN AMERICAN
PARP10	8q24.3	11.15	10.72	0.59	0.89	0.43	9.742e-5	9.455e-3	(A) BLACK OR AFRICAN AMERICAN
TEN1	17q25.1	9.08	8.83	0.35	0.45	0.25	9.793e-5	9.458e-3	(A) BLACK OR AFRICAN AMERICAN
SUGT1P4-STRA6LP-CCDC180	9q22.33	7.08	6.64	0.60	0.84	0.43	9.958e-5	9.573e-3	(A) BLACK OR AFRICAN AMERICAN
EXO5	1p34.2	7.06	6.89	0.25	0.31	0.18	1.004e-4	9.607e-3	(A) BLACK OR AFRICAN AMERICAN
IGBP1P1	14q13.2	2.00	2.51	0.73	0.85	-0.51	1.014e-4	9.650e-3	(B) WHITE
AKR7L	1p36.13|1p35-p36.1	3.82	3.13	1.02	0.88	0.69	1.018e-4	9.650e-3	(A) BLACK OR AFRICAN AMERICAN
LY86-AS1	6p25.1	0.19	0.44	0.32	0.60	-0.25	1.033e-4	9.745e-3	(B) WHITE
PTGFRN	1p13.1	10.50	10.76	0.36	0.43	-0.25	1.046e-4	9.821e-3	(B) WHITE
PPIEL	1p34.3	6.72	6.12	0.84	1.24	0.61	1.052e-4	9.832e-3	(A) BLACK OR AFRICAN AMERICAN
SATB2-AS1	2q33.1	0.16	0.40	0.32	0.52	-0.24	1.070e-4	9.952e-3	(B) WHITE
