Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
TRAPPC6A	19q13.32	9.64	9.46	0.48	0.51	0.17	0.0327	0.221	(A) BLACK OR AFRICAN AMERICAN
MDFI	6p21.1	6.87	7.55	1.87	1.89	-0.67	0.0327	0.221	(B) WHITE
PRPH2	6p21.1	3.21	3.65	1.24	1.05	-0.44	0.0328	0.221	(B) WHITE
NFKBIB	19q13.2	8.78	8.63	0.42	0.45	0.15	0.0328	0.221	(A) BLACK OR AFRICAN AMERICAN
BGLAP	1q22	5.68	5.45	0.63	0.74	0.23	0.0328	0.221	(A) BLACK OR AFRICAN AMERICAN
LYPLA2P1	6p21.32	6.32	6.44	0.34	0.39	-0.12	0.0328	0.221	(B) WHITE
COMMD5	8q24.3	9.27	9.14	0.37	0.41	0.13	0.0328	0.221	(A) BLACK OR AFRICAN AMERICAN
MARCH5	10q23.32-q23.33	10.51	10.40	0.31	0.40	0.11	0.0328	0.221	(A) BLACK OR AFRICAN AMERICAN
RFC5	12q24.23	7.78	7.87	0.24	0.34	-0.09	0.0328	0.221	(B) WHITE
LINC01011	6p25.2	6.10	5.90	0.58	0.54	0.21	0.0329	0.221	(A) BLACK OR AFRICAN AMERICAN
MAB21L2	4q31.3	1.63	1.92	0.79	1.06	-0.30	0.0329	0.221	(B) WHITE
NUP133	1q42.13	9.78	9.91	0.37	0.33	-0.13	0.0329	0.221	(B) WHITE
BAIAP2	17q25.3	12.10	11.91	0.54	0.60	0.20	0.0329	0.221	(A) BLACK OR AFRICAN AMERICAN
OR52N4	11p15.4	1.19	0.89	0.85	0.70	0.30	0.0329	0.221	(A) BLACK OR AFRICAN AMERICAN
AGRN	1p36.33	11.74	11.94	0.57	0.59	-0.20	0.0329	0.221	(B) WHITE
POU5F1B	8q24.21	5.90	5.56	0.96	0.86	0.34	0.0330	0.221	(A) BLACK OR AFRICAN AMERICAN
AZGP1	7q22.1	14.34	13.78	1.50	1.92	0.56	0.0330	0.222	(A) BLACK OR AFRICAN AMERICAN
ZNHIT1	7q22.1	10.46	10.26	0.57	0.51	0.20	0.0330	0.222	(A) BLACK OR AFRICAN AMERICAN
BRCC3	Xq28	9.20	9.32	0.34	0.33	-0.12	0.0330	0.222	(B) WHITE
CRISPLD1	8q21.13	9.05	9.58	1.48	1.49	-0.53	0.0330	0.222	(B) WHITE
RPS4Y2	Yq11.223	3.87	3.17	1.96	1.77	0.69	0.0330	0.222	(A) BLACK OR AFRICAN AMERICAN
IRGC	19q13.31	0.40	0.23	0.50	0.37	0.17	0.0330	0.222	(A) BLACK OR AFRICAN AMERICAN
RMC1	18q11.2	8.63	8.53	0.29	0.33	0.10	0.0331	0.222	(A) BLACK OR AFRICAN AMERICAN
EIF2B4	2p23.3	10.46	10.37	0.23	0.31	0.09	0.0332	0.222	(A) BLACK OR AFRICAN AMERICAN
THOC5	22q12.2	9.03	9.17	0.36	0.39	-0.13	0.0332	0.222	(B) WHITE
CD209	19p13.2	4.54	4.96	1.17	1.14	-0.42	0.0332	0.222	(B) WHITE
MMP19	12q13.2	8.30	8.07	0.63	0.74	0.23	0.0332	0.222	(A) BLACK OR AFRICAN AMERICAN
ZBTB38	3q23	10.38	10.54	0.43	0.51	-0.16	0.0332	0.222	(B) WHITE
CAMK2B	7p13	8.72	8.40	0.86	1.10	0.32	0.0333	0.223	(A) BLACK OR AFRICAN AMERICAN
FAM182B	20p11.1	4.21	3.85	1.01	1.07	0.37	0.0333	0.223	(A) BLACK OR AFRICAN AMERICAN
GABBR2	9q22.33	1.99	2.43	1.18	1.50	-0.44	0.0333	0.223	(B) WHITE
NCR3	6p21.33	2.33	1.88	1.27	1.09	0.45	0.0333	0.223	(A) BLACK OR AFRICAN AMERICAN
ISOC2	19q13.42	9.97	9.82	0.41	0.51	0.15	0.0334	0.223	(A) BLACK OR AFRICAN AMERICAN
NLRP12	19q13.42	5.27	4.75	1.46	1.56	0.53	0.0334	0.223	(A) BLACK OR AFRICAN AMERICAN
NRG4	15q24.2	5.19	4.43	2.14	2.02	0.76	0.0334	0.223	(A) BLACK OR AFRICAN AMERICAN
SPINK1	5q32	4.73	3.51	3.46	3.08	1.22	0.0334	0.223	(A) BLACK OR AFRICAN AMERICAN
WDR77	1p13.2	9.84	9.72	0.32	0.39	0.12	0.0335	0.223	(A) BLACK OR AFRICAN AMERICAN
HTR1D	1p36.12	2.04	2.38	0.92	1.08	-0.34	0.0335	0.223	(B) WHITE
BCL9L	11q23.3	10.48	10.63	0.43	0.42	-0.15	0.0335	0.223	(B) WHITE
SNX7	1p21.3	7.65	7.42	0.60	0.91	0.23	0.0336	0.224	(A) BLACK OR AFRICAN AMERICAN
DCAF4L1	4p13	2.58	2.30	0.76	0.82	0.27	0.0336	0.224	(A) BLACK OR AFRICAN AMERICAN
GNAT2	1p13.3	0.92	1.12	0.53	0.69	-0.20	0.0336	0.224	(B) WHITE
ZNF813	19q13.42	7.73	8.08	1.00	0.88	-0.35	0.0336	0.224	(B) WHITE
IGFL3	19q13.32	0.01	0.06	0.09	0.23	-0.04	0.0336	0.224	(B) WHITE
IL1RAP	3q28	7.68	7.89	0.57	0.61	-0.21	0.0336	0.224	(B) WHITE
KLRG2	7q34	2.21	2.68	1.30	1.34	-0.47	0.0337	0.224	(B) WHITE
ADGRB3	6q12-q13	3.15	2.77	1.04	1.18	0.38	0.0337	0.224	(A) BLACK OR AFRICAN AMERICAN
CDKN2D	19p13.2	6.59	6.36	0.65	0.59	0.23	0.0337	0.224	(A) BLACK OR AFRICAN AMERICAN
C12ORF54	12q13.11	0.64	0.88	0.66	0.82	-0.24	0.0337	0.224	(B) WHITE
COQ7	16p12.3	9.77	9.66	0.31	0.28	0.11	0.0337	0.224	(A) BLACK OR AFRICAN AMERICAN
SUMO1P3	1q23.2	7.33	7.45	0.33	0.33	-0.12	0.0337	0.224	(B) WHITE
PLCB2	15q15.1	7.13	6.80	0.94	0.85	0.33	0.0338	0.224	(A) BLACK OR AFRICAN AMERICAN
YY2	Xp22.12	4.43	4.73	0.85	0.68	-0.30	0.0338	0.224	(B) WHITE
LINC00111	21q22.3	0.03	0.08	0.12	0.23	-0.05	0.0338	0.224	(B) WHITE
CRACR2B	11p15.5	10.57	10.28	0.79	0.97	0.29	0.0338	0.224	(A) BLACK OR AFRICAN AMERICAN
SCFD2	4q12	8.09	8.18	0.25	0.33	-0.09	0.0338	0.224	(B) WHITE
SKIDA1	10p12.31	3.26	3.54	0.78	0.90	-0.28	0.0338	0.224	(B) WHITE
WDR48	3p22.2	9.88	9.97	0.25	0.25	-0.09	0.0338	0.224	(B) WHITE
CLUH	17p13.3	10.97	10.84	0.36	0.42	0.13	0.0339	0.224	(A) BLACK OR AFRICAN AMERICAN
ILF3-DT	19p13.2	9.56	9.37	0.53	0.55	0.19	0.0339	0.224	(A) BLACK OR AFRICAN AMERICAN
RREB1	6p24.3	10.05	10.21	0.45	0.48	-0.16	0.0340	0.225	(B) WHITE
HCG18	6p22.1	9.01	8.89	0.32	0.32	0.11	0.0340	0.225	(A) BLACK OR AFRICAN AMERICAN
RPTOR	17q25.3	9.69	9.79	0.28	0.33	-0.10	0.0341	0.225	(B) WHITE
GFI1	1p22.1	4.90	4.52	1.08	1.00	0.38	0.0341	0.225	(A) BLACK OR AFRICAN AMERICAN
POTED	21q11.2	0.63	0.36	0.78	0.74	0.28	0.0341	0.225	(A) BLACK OR AFRICAN AMERICAN
CLEC4G	19p13.2	0.67	0.93	0.70	0.74	-0.25	0.0341	0.225	(B) WHITE
ZNF785	16p11.2	7.90	8.13	0.65	0.50	-0.23	0.0341	0.225	(B) WHITE
UPK3B	7q11.23	3.39	2.87	1.50	1.09	0.52	0.0342	0.225	(A) BLACK OR AFRICAN AMERICAN
SULT6B1	2p22.2	0.02	0.07	0.10	0.33	-0.05	0.0342	0.225	(B) WHITE
NASP	1p34.1	10.36	10.24	0.34	0.37	0.12	0.0342	0.225	(A) BLACK OR AFRICAN AMERICAN
ZWINT	10q21.1	7.13	7.54	1.20	0.79	-0.41	0.0342	0.225	(B) WHITE
SERPINA11	14q32.13	4.65	5.50	2.35	2.49	-0.84	0.0342	0.225	(B) WHITE
GNAT3	7q21.11	0.01	0.04	0.07	0.16	-0.03	0.0342	0.225	(B) WHITE
CRB2	9q33.3	1.79	2.10	0.88	0.89	-0.31	0.0342	0.225	(B) WHITE
KCNS2	8q22.2	1.74	2.12	1.07	1.06	-0.38	0.0342	0.225	(B) WHITE
TES	7q31.2	10.23	10.44	0.59	0.53	-0.21	0.0343	0.226	(B) WHITE
ZFP14	19q13.12	7.62	7.77	0.43	0.41	-0.15	0.0343	0.226	(B) WHITE
ZNF816	19q13.41	7.98	8.14	0.47	0.40	-0.16	0.0343	0.226	(B) WHITE
RDH5	12q13.2	5.25	4.84	1.17	1.04	0.41	0.0343	0.226	(A) BLACK OR AFRICAN AMERICAN
H2AFY2	10q22.1	9.00	9.35	0.99	0.98	-0.35	0.0343	0.226	(B) WHITE
LRGUK	7q33	3.60	3.18	1.16	1.19	0.42	0.0344	0.226	(A) BLACK OR AFRICAN AMERICAN
N4BP2L2-IT2	13q13.1	4.94	4.63	0.86	0.86	0.30	0.0344	0.226	(A) BLACK OR AFRICAN AMERICAN
MOCS3	20q13.13	7.68	7.81	0.37	0.31	-0.13	0.0345	0.226	(B) WHITE
EPHA7	6q16.1	7.94	8.34	1.11	1.20	-0.40	0.0345	0.226	(B) WHITE
CDKAL1	6p22.3	7.73	7.81	0.22	0.26	-0.08	0.0345	0.227	(B) WHITE
PPIAL4G	1q21.2	3.43	3.64	0.60	0.50	-0.21	0.0345	0.227	(B) WHITE
ECHDC2	1p32.3	10.64	10.45	0.52	0.66	0.19	0.0346	0.227	(A) BLACK OR AFRICAN AMERICAN
IQCA1	2q37.2-q37.3	3.85	4.29	1.25	1.24	-0.44	0.0346	0.227	(B) WHITE
LINC02447	4p16.1	4.50	4.27	0.64	0.72	0.23	0.0346	0.227	(A) BLACK OR AFRICAN AMERICAN
OR56A5	11p15.4	0.17	0.04	0.37	0.15	0.13	0.0346	0.227	(A) BLACK OR AFRICAN AMERICAN
CELSR3	3p21.31	5.96	6.41	1.20	1.54	-0.44	0.0347	0.227	(B) WHITE
IFITM3	11p15.5	12.09	11.77	0.93	0.83	0.33	0.0347	0.227	(A) BLACK OR AFRICAN AMERICAN
PCDHA10	5q31.3	5.56	4.81	2.08	2.39	0.75	0.0347	0.227	(A) BLACK OR AFRICAN AMERICAN
PICALM	11q14.2	11.67	11.77	0.26	0.31	-0.10	0.0348	0.227	(B) WHITE
SLC25A24	1p13.3	8.63	8.84	0.61	0.53	-0.21	0.0348	0.228	(B) WHITE
CHERP	19p13.11	10.56	10.63	0.20	0.26	-0.07	0.0348	0.228	(B) WHITE
LINC00472	6q13	5.21	4.89	0.90	1.02	0.32	0.0348	0.228	(A) BLACK OR AFRICAN AMERICAN
EPB41L4A-AS1	5q22.1	9.22	9.03	0.51	0.61	0.19	0.0349	0.228	(A) BLACK OR AFRICAN AMERICAN
KLHL28	14q21.2	8.54	8.70	0.44	0.47	-0.16	0.0349	0.228	(B) WHITE
PRAME	22q11.22	2.03	2.78	2.05	2.56	-0.75	0.0349	0.228	(B) WHITE
CAMSAP2	1q32.1	9.69	9.83	0.38	0.43	-0.14	0.0350	0.228	(B) WHITE
RASSF10	11p15.3	2.93	3.46	1.47	1.59	-0.53	0.0350	0.228	(B) WHITE
GBP3	1p22.2	9.03	8.55	1.30	1.55	0.47	0.0350	0.228	(A) BLACK OR AFRICAN AMERICAN
CCT4	2p15	11.64	11.75	0.30	0.28	-0.11	0.0350	0.228	(B) WHITE
USP18	22q11.21	8.23	8.03	0.57	0.53	0.20	0.0350	0.228	(A) BLACK OR AFRICAN AMERICAN
SLC9A8	20q13.13	9.32	9.45	0.34	0.41	-0.13	0.0350	0.228	(B) WHITE
ATP6AP1L	5q14.2	5.77	5.48	0.84	0.68	0.29	0.0350	0.228	(A) BLACK OR AFRICAN AMERICAN
FAT1	4q35.2	12.10	12.43	0.95	0.76	-0.33	0.0351	0.228	(B) WHITE
CASP9	1p36.21	8.75	8.65	0.28	0.30	0.10	0.0351	0.228	(A) BLACK OR AFRICAN AMERICAN
C6ORF163	6q15	3.23	2.91	0.89	0.89	0.32	0.0351	0.228	(A) BLACK OR AFRICAN AMERICAN
RAP2B	3q25.2	8.42	8.58	0.43	0.50	-0.15	0.0351	0.229	(B) WHITE
SLC13A5	17p13.1	1.02	0.75	0.76	0.66	0.27	0.0352	0.229	(A) BLACK OR AFRICAN AMERICAN
C1ORF112	1q24.2	6.30	6.46	0.47	0.40	-0.16	0.0353	0.229	(B) WHITE
GZMM	19p13.3	4.18	3.71	1.34	1.17	0.47	0.0353	0.229	(A) BLACK OR AFRICAN AMERICAN
KIAA0087	7p15.2	2.78	3.52	2.07	2.17	-0.74	0.0353	0.229	(B) WHITE
CCDC9	19q13.32	9.09	8.96	0.37	0.43	0.13	0.0353	0.229	(A) BLACK OR AFRICAN AMERICAN
USP47	11p15.3	10.99	11.07	0.22	0.28	-0.08	0.0353	0.229	(B) WHITE
HOXB3	17q21.32	6.65	6.23	1.18	1.18	0.42	0.0354	0.230	(A) BLACK OR AFRICAN AMERICAN
GNS	12q14.3	11.85	11.95	0.28	0.38	-0.10	0.0354	0.230	(B) WHITE
DYM	18q21.1	9.29	9.43	0.40	0.34	-0.14	0.0354	0.230	(B) WHITE
IMPDH1	7q32.1	10.85	10.70	0.41	0.49	0.15	0.0354	0.230	(A) BLACK OR AFRICAN AMERICAN
LUC7L	16p13.3	9.29	9.11	0.48	0.73	0.18	0.0355	0.230	(A) BLACK OR AFRICAN AMERICAN
PIGO	9p13.3	10.13	10.31	0.51	0.46	-0.18	0.0355	0.230	(B) WHITE
C6ORF226	6p21.1	7.00	6.75	0.67	0.82	0.25	0.0355	0.230	(A) BLACK OR AFRICAN AMERICAN
GRPR	Xp22.2	4.53	5.25	2.04	1.97	-0.72	0.0355	0.230	(B) WHITE
ICE1	5p15.32	9.65	9.77	0.35	0.35	-0.12	0.0355	0.230	(B) WHITE
ARHGEF17	11q13.4	9.73	10.00	0.76	0.65	-0.26	0.0355	0.230	(B) WHITE
C9ORF116	9q34.3	6.41	6.15	0.74	0.72	0.26	0.0355	0.230	(A) BLACK OR AFRICAN AMERICAN
AP3D1	19p13.3	11.96	12.05	0.26	0.29	-0.09	0.0356	0.230	(B) WHITE
RTEL1	20q13.33	8.74	8.60	0.36	0.53	0.14	0.0356	0.230	(A) BLACK OR AFRICAN AMERICAN
UBP1	3p22.3	10.35	10.43	0.24	0.25	-0.08	0.0356	0.230	(B) WHITE
AKR7A2P1	1p13.2	1.60	1.86	0.75	0.74	-0.26	0.0357	0.230	(B) WHITE
NAA30	14q22.3	9.15	9.25	0.27	0.28	-0.10	0.0357	0.230	(B) WHITE
CEP104	1p36.32	9.55	9.65	0.27	0.27	-0.10	0.0357	0.231	(B) WHITE
LDAH	2p24.1	7.56	7.10	1.27	1.40	0.45	0.0357	0.231	(A) BLACK OR AFRICAN AMERICAN
TXLNB	6q24.1	6.09	5.65	1.23	1.31	0.44	0.0358	0.231	(A) BLACK OR AFRICAN AMERICAN
LINC02610	2q37.3	1.38	1.64	0.72	0.90	-0.26	0.0358	0.231	(B) WHITE
FAM181B	11q14.1	4.08	3.75	0.92	1.03	0.33	0.0358	0.231	(A) BLACK OR AFRICAN AMERICAN
POLR1C	6p21.1	8.99	8.84	0.37	0.64	0.15	0.0358	0.231	(A) BLACK OR AFRICAN AMERICAN
RPS9	19q13.42	14.41	14.25	0.46	0.51	0.16	0.0359	0.231	(A) BLACK OR AFRICAN AMERICAN
CCDC91	12p11.22	8.55	8.68	0.37	0.37	-0.13	0.0359	0.231	(B) WHITE
BCL9	1q21.2	10.51	10.69	0.53	0.43	-0.18	0.0359	0.231	(B) WHITE
ARHGAP4	Xq28	8.02	7.72	0.84	0.81	0.29	0.0359	0.231	(A) BLACK OR AFRICAN AMERICAN
GP1BA	17p13.2	3.42	3.04	1.06	1.08	0.37	0.0359	0.231	(A) BLACK OR AFRICAN AMERICAN
ATXN1L	16q22.2	9.63	9.79	0.47	0.46	-0.17	0.0359	0.231	(B) WHITE
POMT1	9q34.13	10.14	10.03	0.31	0.33	0.11	0.0359	0.231	(A) BLACK OR AFRICAN AMERICAN
ACER1	19p13.3	3.25	2.74	1.46	1.46	0.51	0.0359	0.231	(A) BLACK OR AFRICAN AMERICAN
CREBBP	16p13.3	11.10	11.24	0.39	0.35	-0.14	0.0359	0.231	(B) WHITE
ACAD8	11q25	11.04	10.70	0.95	1.03	0.34	0.0361	0.232	(A) BLACK OR AFRICAN AMERICAN
DLG2	11q14.1	7.78	7.49	0.80	1.00	0.29	0.0361	0.232	(A) BLACK OR AFRICAN AMERICAN
TPTEP2	22q13.1	4.55	4.32	0.62	0.85	0.23	0.0361	0.232	(A) BLACK OR AFRICAN AMERICAN
DPP8	15q22.31	8.28	8.48	0.56	0.56	-0.20	0.0361	0.232	(B) WHITE
KDM8	16p12.1	7.46	7.32	0.41	0.36	0.14	0.0362	0.232	(A) BLACK OR AFRICAN AMERICAN
SPATA45	1q32.3	0.48	0.65	0.49	0.52	-0.17	0.0363	0.233	(B) WHITE
CXCR2	2q35	2.66	3.09	1.20	1.44	-0.43	0.0363	0.233	(B) WHITE
SRSF7	2p22.1	11.12	10.98	0.38	0.35	0.13	0.0363	0.233	(A) BLACK OR AFRICAN AMERICAN
WASH3P	15q26.3	8.74	8.55	0.53	0.65	0.19	0.0363	0.233	(A) BLACK OR AFRICAN AMERICAN
VANGL2	1q23.2	8.53	9.03	1.45	1.16	-0.50	0.0363	0.233	(B) WHITE
PGS1	17q25.3	8.69	8.60	0.23	0.32	0.09	0.0364	0.233	(A) BLACK OR AFRICAN AMERICAN
AMPH	7p14.1	3.71	4.07	1.06	0.96	-0.37	0.0364	0.233	(B) WHITE
TTC41P	12q23.3	3.86	3.62	0.72	0.60	0.25	0.0364	0.233	(A) BLACK OR AFRICAN AMERICAN
PNPO	17q21.32	10.04	10.17	0.40	0.34	-0.14	0.0364	0.233	(B) WHITE
HACE1	6q16.3	7.67	7.90	0.66	0.67	-0.23	0.0364	0.233	(B) WHITE
RASSF9	12q21.31	4.57	4.95	1.06	1.04	-0.37	0.0365	0.233	(B) WHITE
MTG1	10q26.3	9.39	9.24	0.40	0.47	0.14	0.0365	0.233	(A) BLACK OR AFRICAN AMERICAN
PCSK9	1p32.3	1.46	1.84	1.03	1.43	-0.38	0.0365	0.233	(B) WHITE
ADAM2	8p11.22	2.71	3.46	2.08	2.45	-0.75	0.0366	0.234	(B) WHITE
VENTX	10q26.3	3.41	3.08	0.95	0.95	0.33	0.0366	0.234	(A) BLACK OR AFRICAN AMERICAN
SIGIRR	11p15.5	9.92	9.75	0.50	0.53	0.18	0.0366	0.234	(A) BLACK OR AFRICAN AMERICAN
XXYLT1	3q29	7.93	8.09	0.44	0.41	-0.15	0.0366	0.234	(B) WHITE
SPPL2C	17q21.31	0.01	0.04	0.07	0.16	-0.03	0.0366	0.234	(B) WHITE
POLR2D	2q14.3	8.76	8.90	0.42	0.34	-0.14	0.0366	0.234	(B) WHITE
LCLAT1	2p23.1	9.63	9.82	0.56	0.49	-0.20	0.0366	0.234	(B) WHITE
CTDSP2	12q14.1	11.87	12.01	0.41	0.39	-0.14	0.0366	0.234	(B) WHITE
MCOLN2	1p22.3	6.42	6.01	1.07	1.59	0.40	0.0367	0.234	(A) BLACK OR AFRICAN AMERICAN
HSPBAP1	3q21.1	7.19	7.04	0.44	0.49	0.16	0.0367	0.234	(A) BLACK OR AFRICAN AMERICAN
SNORA65	9q33.3	0.09	0.18	0.24	0.35	-0.09	0.0367	0.234	(B) WHITE
GALNT5	2q24.1	4.03	4.54	1.46	1.50	-0.51	0.0368	0.234	(B) WHITE
EFCAB5	17q11.2	0.98	1.25	0.77	0.75	-0.27	0.0368	0.234	(B) WHITE
TAF3	10p14	6.76	6.92	0.45	0.43	-0.16	0.0368	0.234	(B) WHITE
LAMP5	20p12.2	6.00	6.49	1.37	1.61	-0.49	0.0368	0.234	(B) WHITE
KCTD15	19q13.11	9.34	9.52	0.53	0.49	-0.18	0.0368	0.234	(B) WHITE
RAD23B	9q31.2	12.18	12.29	0.32	0.30	-0.11	0.0368	0.234	(B) WHITE
CARNS1	11q13.2	5.48	5.28	0.57	0.67	0.20	0.0368	0.234	(A) BLACK OR AFRICAN AMERICAN
FAM199X	Xq22.2	9.07	9.21	0.40	0.44	-0.14	0.0369	0.234	(B) WHITE
GASK1B	4q32.1	10.84	11.10	0.73	0.86	-0.26	0.0369	0.234	(B) WHITE
LOC440896	9p11.2	0.73	0.47	0.74	0.80	0.26	0.0369	0.234	(A) BLACK OR AFRICAN AMERICAN
SPDYE6	7q22.1	4.19	3.90	0.82	0.84	0.29	0.0369	0.234	(A) BLACK OR AFRICAN AMERICAN
ALKBH6	19q13.12	7.28	7.09	0.53	0.55	0.19	0.0369	0.234	(A) BLACK OR AFRICAN AMERICAN
GGTLC1	20p11.21	4.74	4.36	1.03	1.28	0.37	0.0369	0.234	(A) BLACK OR AFRICAN AMERICAN
KIF26A	14q32.33	4.85	5.18	0.96	0.90	-0.33	0.0369	0.234	(B) WHITE
HGFAC	4p16.3	1.65	1.29	1.00	1.24	0.36	0.0369	0.234	(A) BLACK OR AFRICAN AMERICAN
LINC00653	20p11.23	4.95	4.63	0.91	0.95	0.32	0.0370	0.234	(A) BLACK OR AFRICAN AMERICAN
PCDHB4	5q31.3	6.23	6.53	0.84	1.02	-0.30	0.0370	0.234	(B) WHITE
SHPK	17p13.2	8.69	8.54	0.42	0.44	0.15	0.0370	0.234	(A) BLACK OR AFRICAN AMERICAN
HSP90AB2P	4p15.33	5.31	5.58	0.74	0.92	-0.27	0.0370	0.234	(B) WHITE
POLR3B	12q23.3	8.24	8.38	0.37	0.39	-0.13	0.0370	0.234	(B) WHITE
EXOC5	14q22.3	10.13	10.24	0.29	0.37	-0.11	0.0370	0.234	(B) WHITE
KLHDC3	6p21.1	11.15	11.03	0.25	0.73	0.12	0.0370	0.234	(A) BLACK OR AFRICAN AMERICAN
AVIL	12q14.1	4.42	4.03	1.08	1.10	0.38	0.0371	0.234	(A) BLACK OR AFRICAN AMERICAN
CNIH4	1q42.11	8.84	8.96	0.35	0.32	-0.12	0.0371	0.234	(B) WHITE
BPIFA1	20q11.21	0.03	0.10	0.18	0.30	-0.07	0.0371	0.234	(B) WHITE
VCL	10q22.2	11.44	11.72	0.80	0.79	-0.28	0.0371	0.234	(B) WHITE
CDADC1	13q14.2	7.12	7.31	0.55	0.43	-0.19	0.0372	0.235	(B) WHITE
FAM224B	Yq11.222	3.89	3.15	2.12	2.10	0.74	0.0372	0.235	(A) BLACK OR AFRICAN AMERICAN
EYS	6q12	3.29	3.49	0.52	0.77	-0.19	0.0372	0.235	(B) WHITE
AUH	9q22.31	9.63	9.45	0.51	0.60	0.18	0.0372	0.235	(A) BLACK OR AFRICAN AMERICAN
KRTAP13-1	21q22.11	0.03	0.09	0.13	0.25	-0.05	0.0372	0.235	(B) WHITE
EEA1	12q22	9.47	9.59	0.34	0.50	-0.13	0.0373	0.235	(B) WHITE
CDY2B	Yq11.222	0.72	0.46	0.75	0.69	0.26	0.0373	0.235	(A) BLACK OR AFRICAN AMERICAN
TSFM	12q14.1	9.15	9.05	0.29	0.29	0.10	0.0373	0.235	(A) BLACK OR AFRICAN AMERICAN
MIR924HG	18q12.2-q12.3	2.17	1.79	1.08	1.04	0.38	0.0374	0.235	(A) BLACK OR AFRICAN AMERICAN
SUV39H1	Xp11.23	7.26	7.39	0.38	0.30	-0.13	0.0374	0.235	(B) WHITE
DNAJC17	15q15.1	7.98	7.86	0.36	0.40	0.13	0.0374	0.235	(A) BLACK OR AFRICAN AMERICAN
HOXA4	7p15.2	5.01	5.34	0.94	0.91	-0.33	0.0374	0.235	(B) WHITE
CXCL9	4q21.1	8.19	7.71	1.35	1.60	0.49	0.0374	0.235	(A) BLACK OR AFRICAN AMERICAN
BYSL	6p21.1	8.97	8.83	0.36	0.67	0.14	0.0375	0.236	(A) BLACK OR AFRICAN AMERICAN
ZGPAT	20q13.33	9.20	9.07	0.36	0.47	0.13	0.0375	0.236	(A) BLACK OR AFRICAN AMERICAN
IFI35	17q21.31	9.43	9.19	0.71	0.63	0.25	0.0376	0.236	(A) BLACK OR AFRICAN AMERICAN
FAM200B	4p15.32	8.80	8.65	0.45	0.38	0.16	0.0376	0.236	(A) BLACK OR AFRICAN AMERICAN
ACER2	9p22.1	7.42	7.14	0.79	0.89	0.28	0.0376	0.236	(A) BLACK OR AFRICAN AMERICAN
RLN1	9p24.1	8.01	6.62	4.05	3.50	1.39	0.0376	0.236	(A) BLACK OR AFRICAN AMERICAN
HPN-AS1	19q13.11-q13.12	3.84	3.45	1.08	1.28	0.39	0.0377	0.236	(A) BLACK OR AFRICAN AMERICAN
TNS2	12q13.13	10.74	10.93	0.55	0.57	-0.19	0.0377	0.236	(B) WHITE
ADPRH	3q13.33	8.17	8.39	0.61	0.72	-0.22	0.0377	0.236	(B) WHITE
FRRS1	1p21.2	5.79	6.09	0.85	0.80	-0.30	0.0377	0.236	(B) WHITE
SLC35F6	2p23.3	10.58	10.73	0.43	0.36	-0.15	0.0377	0.236	(B) WHITE
ADAT3	19p13.3	6.06	5.79	0.78	0.92	0.28	0.0377	0.236	(A) BLACK OR AFRICAN AMERICAN
SYT4	18q12.3	3.25	3.89	1.73	2.34	-0.64	0.0378	0.236	(B) WHITE
POLG2	17q23.3	6.77	6.64	0.38	0.47	0.14	0.0378	0.236	(A) BLACK OR AFRICAN AMERICAN
RIOK2	5q15	8.61	8.74	0.35	0.32	-0.12	0.0378	0.236	(B) WHITE
SLC44A4	6p21.33	13.52	13.74	0.65	0.55	-0.22	0.0378	0.237	(B) WHITE
PROS1	3q11.1	8.94	9.24	0.83	0.92	-0.29	0.0379	0.237	(B) WHITE
PCYT1B	Xp22.11	3.76	4.23	1.33	1.29	-0.46	0.0379	0.237	(B) WHITE
SLC12A6	15q14	8.57	8.74	0.49	0.46	-0.17	0.0379	0.237	(B) WHITE
SOS2	14q21.3	9.80	9.91	0.31	0.33	-0.11	0.0379	0.237	(B) WHITE
C1ORF35	1q42.13	8.47	8.32	0.42	0.53	0.15	0.0379	0.237	(A) BLACK OR AFRICAN AMERICAN
TRPM4	19q13.33	13.35	13.08	0.75	0.82	0.26	0.0379	0.237	(A) BLACK OR AFRICAN AMERICAN
HES4	1p36.33	7.56	7.19	1.06	1.19	0.37	0.0379	0.237	(A) BLACK OR AFRICAN AMERICAN
ST7-AS2	7q31.2	0.36	0.18	0.50	0.51	0.18	0.0380	0.237	(A) BLACK OR AFRICAN AMERICAN
TIMM44	19p13.2	9.50	9.40	0.27	0.37	0.10	0.0380	0.237	(A) BLACK OR AFRICAN AMERICAN
THAP10	15q23	6.33	6.46	0.38	0.38	-0.13	0.0380	0.237	(B) WHITE
GPC6	13q31.3-q32.1	7.77	8.07	0.83	0.94	-0.29	0.0380	0.237	(B) WHITE
KLKB1	4q35.2	2.59	2.12	1.39	1.09	0.47	0.0380	0.237	(A) BLACK OR AFRICAN AMERICAN
ZNF300	5q33.1	7.00	6.69	0.88	0.77	0.30	0.0381	0.237	(A) BLACK OR AFRICAN AMERICAN
LIMS1	2q12.3	8.16	8.44	0.80	0.84	-0.28	0.0381	0.237	(B) WHITE
AQP1	7p14.3	10.83	11.16	0.94	0.83	-0.32	0.0381	0.238	(B) WHITE
