Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
PPOX	1q23.3	0.05	0.05	0.01	0.01	-0.01	1.621e-4	0.0126	(B) WHITE
KCNN4	19q13.31	0.58	0.49	0.13	0.17	0.09	1.622e-4	0.0126	(A) BLACK OR AFRICAN AMERICAN
DDX27	20q13.13	0.05	0.06	0.01	0.01	-0.01	1.668e-4	0.0128	(B) WHITE
MC1R	16q24.3	0.07	0.08	0.02	0.03	-0.01	1.674e-4	0.0128	(B) WHITE
LGALS8	1q43	0.41	0.29	0.18	0.14	0.12	1.750e-4	0.0133	(A) BLACK OR AFRICAN AMERICAN
AGK	7q34	0.05	0.06	0.01	0.02	-0.01	1.760e-4	0.0134	(B) WHITE
ELK3	12q23.1	0.84	0.81	0.04	0.07	0.03	1.785e-4	0.0135	(A) BLACK OR AFRICAN AMERICAN
SPATA5L1	15q21.1	0.04	0.04	0.01	0.01	-0.01	1.802e-4	0.0135	(B) WHITE
PATZ1	22q12.2	0.55	0.46	0.14	0.15	0.09	1.881e-4	0.0141	(A) BLACK OR AFRICAN AMERICAN
AAK1	2p13.3	0.64	0.52	0.19	0.14	0.12	1.925e-4	0.0143	(A) BLACK OR AFRICAN AMERICAN
TEX35	1q25.2	0.62	0.71	0.15	0.12	-0.09	1.942e-4	0.0143	(B) WHITE
ZMAT2	5q31.3	0.04	0.05	0.01	0.02	-0.01	1.947e-4	0.0143	(B) WHITE
HOXA4	7p15.2	0.59	0.47	0.19	0.16	0.13	1.966e-4	0.0144	(A) BLACK OR AFRICAN AMERICAN
WDFY1	2q36.1	0.71	0.64	0.11	0.10	0.07	1.983e-4	0.0144	(A) BLACK OR AFRICAN AMERICAN
ZNF486	19p12	0.41	0.25	0.24	0.24	0.16	1.984e-4	0.0144	(A) BLACK OR AFRICAN AMERICAN
PIK3C2B	1q32.1	0.76	0.82	0.09	0.07	-0.06	1.998e-4	0.0144	(B) WHITE
FAM92A	8q22.1	0.49	0.38	0.16	0.18	0.11	2.011e-4	0.0144	(A) BLACK OR AFRICAN AMERICAN
MRPL48	11q13.4	0.04	0.06	0.02	0.03	-0.01	2.013e-4	0.0144	(B) WHITE
CHEK2	22q12.1	0.08	0.09	0.02	0.02	-0.01	2.034e-4	0.0145	(B) WHITE
RUNDC1	17q21.31	0.03	0.04	0.01	0.01	-0.00	2.056e-4	0.0145	(B) WHITE
SAP30BP	17q25.1	0.06	0.07	0.01	0.01	-0.01	2.061e-4	0.0145	(B) WHITE
MYL6	12q13.2	0.72	0.66	0.08	0.12	0.06	2.064e-4	0.0145	(A) BLACK OR AFRICAN AMERICAN
