Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
RBMS1	2q24.2	0.70	0.65	0.17	0.18	0.06	0.0433	0.258	(A) BLACK OR AFRICAN AMERICAN
TTC39C	18q11.2	0.04	0.05	0.01	0.02	-0.00	0.0433	0.258	(B) WHITE
LSM4	19p13.11	0.05	0.05	0.01	0.01	-0.00	0.0434	0.258	(B) WHITE
ITGB8	7p21.1	0.80	0.76	0.12	0.15	0.04	0.0434	0.258	(A) BLACK OR AFRICAN AMERICAN
MFSD2A	1p34.2	0.69	0.66	0.09	0.09	0.03	0.0435	0.259	(A) BLACK OR AFRICAN AMERICAN
PBOV1	6q23.3	0.24	0.28	0.10	0.10	-0.04	0.0436	0.259	(B) WHITE
AJM1	9q34.3	0.84	0.81	0.10	0.13	0.04	0.0436	0.259	(A) BLACK OR AFRICAN AMERICAN
ERICH5	8q22.2	0.26	0.21	0.16	0.13	0.05	0.0436	0.259	(A) BLACK OR AFRICAN AMERICAN
YBX3	12p13.2	0.34	0.27	0.20	0.17	0.07	0.0437	0.259	(A) BLACK OR AFRICAN AMERICAN
LUZP1	1p36.12	0.04	0.05	0.01	0.02	-0.00	0.0437	0.259	(B) WHITE
FRAS1	4q21.21	0.86	0.84	0.06	0.06	0.02	0.0437	0.259	(A) BLACK OR AFRICAN AMERICAN
HELB	12q14.3|12q	0.75	0.71	0.12	0.13	0.04	0.0437	0.259	(A) BLACK OR AFRICAN AMERICAN
PIGK	1p31.1	0.03	0.02	0.00	0.00	0.00	0.0437	0.259	(A) BLACK OR AFRICAN AMERICAN
SCGB1A1	11q12.3	0.77	0.80	0.11	0.04	-0.03	0.0437	0.259	(B) WHITE
YWHAQ	2p25.1	0.46	0.41	0.14	0.12	0.05	0.0438	0.259	(A) BLACK OR AFRICAN AMERICAN
C2CD4B	15q22.2	0.50	0.46	0.14	0.13	0.05	0.0438	0.259	(A) BLACK OR AFRICAN AMERICAN
MYH3	17p13.1	0.89	0.91	0.04	0.04	-0.01	0.0438	0.259	(B) WHITE
PLEKHF2	8q22.1	0.77	0.71	0.17	0.19	0.06	0.0438	0.259	(A) BLACK OR AFRICAN AMERICAN
NAV3	12q21.2	0.80	0.76	0.11	0.14	0.04	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
ADGRA3	4p15.2	0.58	0.52	0.17	0.16	0.06	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
BCAR1	16q23.1	0.03	0.03	0.00	0.01	0.00	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
DOC2B	17p13.3	0.75	0.72	0.10	0.11	0.03	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
TXLNB	6q24.1	0.78	0.75	0.09	0.10	0.03	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
ID2	2p25.1	0.23	0.14	0.26	0.19	0.09	0.0439	0.259	(A) BLACK OR AFRICAN AMERICAN
TMCO6	5q31.3	0.93	0.93	0.02	0.02	-0.01	0.0440	0.259	(B) WHITE
PREX1	20q13.13	0.62	0.56	0.15	0.18	0.05	0.0440	0.259	(A) BLACK OR AFRICAN AMERICAN
SCAND2P	15q25.2	0.05	0.05	0.01	0.01	-0.00	0.0440	0.259	(B) WHITE
SPRYD3	12q13.13	0.20	0.17	0.10	0.07	0.03	0.0440	0.259	(A) BLACK OR AFRICAN AMERICAN
SIRT6	19p13.3	0.03	0.03	0.01	0.01	0.00	0.0441	0.259	(A) BLACK OR AFRICAN AMERICAN
SLC19A1	21q22.3	0.51	0.47	0.13	0.12	0.04	0.0441	0.259	(A) BLACK OR AFRICAN AMERICAN
MCM3	6p12.2	0.82	0.80	0.07	0.09	0.03	0.0441	0.259	(A) BLACK OR AFRICAN AMERICAN
TCP11L2	12q23.3	0.01	0.01	0.00	0.00	0.00	0.0441	0.259	(A) BLACK OR AFRICAN AMERICAN
IPO11	5q12.1	0.12	0.10	0.05	0.04	0.02	0.0441	0.259	(A) BLACK OR AFRICAN AMERICAN
TRAK1	3p22.1	0.44	0.38	0.18	0.18	0.06	0.0442	0.259	(A) BLACK OR AFRICAN AMERICAN
SLC31A2	9q32	0.25	0.17	0.25	0.20	0.08	0.0442	0.259	(A) BLACK OR AFRICAN AMERICAN
POR	7q11.23	0.68	0.76	0.23	0.18	-0.08	0.0442	0.259	(B) WHITE
POGLUT1	3q13.33	0.14	0.12	0.05	0.04	0.02	0.0442	0.259	(A) BLACK OR AFRICAN AMERICAN
SERPINB4	18q21.33	0.76	0.81	0.16	0.10	-0.05	0.0442	0.259	(B) WHITE
SLC40A1	2q32.2	0.76	0.73	0.08	0.09	0.03	0.0442	0.259	(A) BLACK OR AFRICAN AMERICAN
PSMB2	1p34.3	0.05	0.06	0.02	0.02	-0.01	0.0442	0.259	(B) WHITE
SFXN5	2p13.2	0.15	0.13	0.06	0.05	0.02	0.0443	0.259	(A) BLACK OR AFRICAN AMERICAN
UNK	17q25.1	0.93	0.94	0.02	0.02	-0.01	0.0443	0.260	(B) WHITE
RAD54L2	3p21.2	0.86	0.84	0.05	0.06	0.02	0.0443	0.260	(A) BLACK OR AFRICAN AMERICAN
SEMA3G	3p21.1	0.66	0.69	0.09	0.07	-0.03	0.0443	0.260	(B) WHITE
HTRA1	10q26.13	0.87	0.85	0.05	0.08	0.02	0.0444	0.260	(A) BLACK OR AFRICAN AMERICAN
CYTH3	7p22.1	0.39	0.35	0.13	0.15	0.05	0.0444	0.260	(A) BLACK OR AFRICAN AMERICAN
ORAI2	7q22.1	0.36	0.32	0.11	0.12	0.04	0.0444	0.260	(A) BLACK OR AFRICAN AMERICAN
LRIG1	3p14.1	0.85	0.81	0.12	0.13	0.04	0.0444	0.260	(A) BLACK OR AFRICAN AMERICAN
SHISA6	17p12	0.81	0.77	0.12	0.12	0.04	0.0445	0.260	(A) BLACK OR AFRICAN AMERICAN
C11ORF87	11q22.3	0.69	0.76	0.22	0.15	-0.07	0.0445	0.260	(B) WHITE
ADAM20	14q24.2	0.88	0.90	0.06	0.04	-0.02	0.0445	0.260	(B) WHITE
TMEM214	2p23.3	0.02	0.02	0.00	0.00	0.00	0.0446	0.260	(A) BLACK OR AFRICAN AMERICAN
GNA14	9q21.2	0.84	0.83	0.05	0.05	0.02	0.0446	0.260	(A) BLACK OR AFRICAN AMERICAN
CLEC10A	17p13.1	0.69	0.65	0.14	0.14	0.05	0.0446	0.260	(A) BLACK OR AFRICAN AMERICAN
LPAL2	6q25.3	0.83	0.89	0.18	0.09	-0.06	0.0446	0.260	(B) WHITE
DNAAF1	16q24.1	0.05	0.05	0.01	0.01	0.00	0.0446	0.260	(A) BLACK OR AFRICAN AMERICAN
SERTAD4	1q32.2	0.18	0.13	0.14	0.08	0.05	0.0447	0.260	(A) BLACK OR AFRICAN AMERICAN
ATXN7L2	1p13.3	0.06	0.06	0.01	0.01	-0.00	0.0447	0.260	(B) WHITE
TRAF6	11p12	0.07	0.06	0.02	0.02	0.01	0.0447	0.260	(A) BLACK OR AFRICAN AMERICAN
SHISA3	4p13	0.01	0.01	0.00	0.00	0.00	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
SARM1	17q11.2	0.22	0.24	0.07	0.08	-0.02	0.0448	0.260	(B) WHITE
PPP1R12B	1q32.1	0.89	0.87	0.04	0.04	0.01	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
FAM24B	10q26.13	0.44	0.40	0.13	0.10	0.04	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
GUCY1A1	4q32.1	0.70	0.63	0.18	0.20	0.06	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
SCN3B	11q24.1	0.33	0.29	0.13	0.15	0.05	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
DHCR7	11q13.4	0.62	0.58	0.12	0.12	0.04	0.0448	0.260	(A) BLACK OR AFRICAN AMERICAN
MAPKAPK3	3p21.2	0.50	0.46	0.14	0.12	0.05	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
ODF3L2	19p13.3	0.47	0.42	0.14	0.14	0.05	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
C1QTNF2	5q33.3	0.64	0.61	0.08	0.09	0.03	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
TMIE	3p21.31	0.36	0.32	0.11	0.10	0.04	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
MMP1	11q22.2	0.89	0.88	0.03	0.07	0.01	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
ZBTB45	19q13.43	0.02	0.02	0.00	0.00	0.00	0.0449	0.260	(A) BLACK OR AFRICAN AMERICAN
TRPC7	5q31.1	0.69	0.73	0.13	0.10	-0.04	0.0450	0.260	(B) WHITE
LOC284009	17p13.3	0.51	0.55	0.15	0.13	-0.05	0.0450	0.260	(B) WHITE
MMP19	12q13.2	0.74	0.71	0.09	0.09	0.03	0.0450	0.260	(A) BLACK OR AFRICAN AMERICAN
ABHD13	13q33.3	0.05	0.05	0.02	0.01	0.01	0.0450	0.261	(A) BLACK OR AFRICAN AMERICAN
FBH1	10p15.1	0.16	0.11	0.14	0.11	0.04	0.0450	0.261	(A) BLACK OR AFRICAN AMERICAN
SRR	17p13.3	0.87	0.88	0.03	0.02	-0.01	0.0452	0.261	(B) WHITE
IFIT2	10q23.31	0.26	0.21	0.18	0.13	0.06	0.0452	0.261	(A) BLACK OR AFRICAN AMERICAN
EN2	7q36.3	0.19	0.15	0.10	0.09	0.03	0.0453	0.261	(A) BLACK OR AFRICAN AMERICAN
AXIN2	17q24.1	0.72	0.67	0.16	0.17	0.05	0.0453	0.261	(A) BLACK OR AFRICAN AMERICAN
ZNF609	15q22.31	0.86	0.83	0.08	0.11	0.03	0.0453	0.261	(A) BLACK OR AFRICAN AMERICAN
FAM102A	9q34.11	0.22	0.25	0.10	0.12	-0.04	0.0453	0.261	(B) WHITE
TRAM1L1	4q26	0.08	0.11	0.10	0.16	-0.04	0.0453	0.261	(B) WHITE
SIK3	11q23.3	0.83	0.80	0.09	0.10	0.03	0.0454	0.261	(A) BLACK OR AFRICAN AMERICAN
FPR1	19q13.41	0.77	0.82	0.18	0.12	-0.06	0.0454	0.261	(B) WHITE
IPO9	1q32.1	0.03	0.03	0.00	0.01	0.00	0.0454	0.261	(A) BLACK OR AFRICAN AMERICAN
PRICKLE1	12q12	0.71	0.74	0.09	0.08	-0.03	0.0454	0.261	(B) WHITE
UCHL3	13q22.2	0.03	0.03	0.01	0.01	-0.00	0.0454	0.262	(B) WHITE
RAPH1	2q33.2	0.05	0.05	0.01	0.01	0.00	0.0454	0.262	(A) BLACK OR AFRICAN AMERICAN
SGIP1	1p31.3	0.75	0.72	0.09	0.08	0.03	0.0456	0.262	(A) BLACK OR AFRICAN AMERICAN
BIRC7	20q13.33	0.85	0.86	0.03	0.03	-0.01	0.0456	0.262	(B) WHITE
WBP2NL	22q13.2	0.33	0.27	0.17	0.16	0.06	0.0457	0.262	(A) BLACK OR AFRICAN AMERICAN
PSMD3	17q21.1	0.08	0.06	0.04	0.03	0.01	0.0457	0.262	(A) BLACK OR AFRICAN AMERICAN
ADAM21	14q24.2	0.70	0.75	0.16	0.11	-0.05	0.0457	0.262	(B) WHITE
ODF3L1	15q24.2	0.88	0.86	0.03	0.05	0.01	0.0457	0.262	(A) BLACK OR AFRICAN AMERICAN
IFT80	3q25.33	0.05	0.05	0.01	0.02	-0.00	0.0457	0.262	(B) WHITE
TMEM170A	16q23.1	0.04	0.04	0.01	0.01	0.00	0.0457	0.262	(A) BLACK OR AFRICAN AMERICAN
SH3GL1	19p13.3	0.02	0.02	0.00	0.00	0.00	0.0457	0.262	(A) BLACK OR AFRICAN AMERICAN
ZNF655	7q22.1	0.51	0.41	0.28	0.25	0.09	0.0458	0.262	(A) BLACK OR AFRICAN AMERICAN
OTUD1	10p12.2	0.06	0.07	0.01	0.02	-0.00	0.0458	0.262	(B) WHITE
CD151	11p15.5	0.50	0.47	0.10	0.11	0.03	0.0458	0.262	(A) BLACK OR AFRICAN AMERICAN
LRG1	19p13.3	0.34	0.39	0.16	0.14	-0.05	0.0458	0.262	(B) WHITE
ADAMTSL3	15q25.2	0.56	0.50	0.19	0.16	0.06	0.0458	0.262	(A) BLACK OR AFRICAN AMERICAN
PYHIN1	1q23.1	0.70	0.77	0.20	0.16	-0.06	0.0458	0.262	(B) WHITE
OPRL1	20q13.33	0.47	0.41	0.19	0.17	0.06	0.0458	0.262	(A) BLACK OR AFRICAN AMERICAN
DLL3	19q13.2	0.54	0.59	0.17	0.15	-0.05	0.0459	0.262	(B) WHITE
SPINT1	15q15.1	0.31	0.34	0.11	0.11	-0.04	0.0459	0.262	(B) WHITE
SNAI2	8q11.21	0.58	0.54	0.11	0.12	0.04	0.0459	0.262	(A) BLACK OR AFRICAN AMERICAN
WSCD1	17p13.2	0.10	0.07	0.10	0.06	0.03	0.0459	0.262	(A) BLACK OR AFRICAN AMERICAN
CCL17	16q21	0.71	0.74	0.08	0.09	-0.03	0.0460	0.263	(B) WHITE
TGFB3	14q24.3	0.57	0.54	0.11	0.12	0.04	0.0460	0.263	(A) BLACK OR AFRICAN AMERICAN
P2RX4	12q24.31	0.02	0.01	0.01	0.00	0.00	0.0460	0.263	(A) BLACK OR AFRICAN AMERICAN
BMS1	10q11.21	0.06	0.05	0.01	0.01	0.00	0.0461	0.263	(A) BLACK OR AFRICAN AMERICAN
ZNF331	19q13.42	0.86	0.83	0.07	0.09	0.03	0.0461	0.263	(A) BLACK OR AFRICAN AMERICAN
GRIN2D	19q13.33	0.31	0.28	0.10	0.07	0.03	0.0462	0.263	(A) BLACK OR AFRICAN AMERICAN
SLC25A51P1	6q12	0.55	0.60	0.17	0.16	-0.06	0.0462	0.263	(B) WHITE
ZBTB20	3q13.31	0.83	0.81	0.06	0.07	0.02	0.0463	0.264	(A) BLACK OR AFRICAN AMERICAN
C6ORF226	6p21.1	0.08	0.08	0.02	0.02	-0.01	0.0463	0.264	(B) WHITE
ISX	22q12.3	0.90	0.90	0.02	0.04	0.01	0.0463	0.264	(A) BLACK OR AFRICAN AMERICAN
ARID3A	19p13.3	0.06	0.07	0.02	0.03	-0.01	0.0464	0.264	(B) WHITE
B3GNT8	19q13.2	0.64	0.60	0.12	0.12	0.04	0.0464	0.264	(A) BLACK OR AFRICAN AMERICAN
CDIP1	16p13.3	0.67	0.63	0.12	0.14	0.04	0.0464	0.264	(A) BLACK OR AFRICAN AMERICAN
CMAHP	6p22.3	0.88	0.87	0.03	0.04	0.01	0.0465	0.264	(A) BLACK OR AFRICAN AMERICAN
F11R	1q23.3	0.23	0.15	0.24	0.14	0.08	0.0465	0.264	(A) BLACK OR AFRICAN AMERICAN
TJP2	9q21.11	0.37	0.39	0.07	0.07	-0.02	0.0465	0.264	(B) WHITE
ZFP30	19q13.12	0.07	0.04	0.08	0.03	0.03	0.0465	0.264	(A) BLACK OR AFRICAN AMERICAN
MYO15A	17p11.2	0.79	0.76	0.09	0.09	0.03	0.0465	0.264	(A) BLACK OR AFRICAN AMERICAN
HFM1	1p22.2	0.32	0.25	0.21	0.17	0.07	0.0465	0.264	(A) BLACK OR AFRICAN AMERICAN
ISLR	15q24.1	0.84	0.82	0.05	0.05	0.02	0.0466	0.264	(A) BLACK OR AFRICAN AMERICAN
GAL	11q13.2	0.04	0.05	0.01	0.01	-0.00	0.0466	0.264	(B) WHITE
C6ORF203	6q21	0.02	0.02	0.00	0.00	-0.00	0.0466	0.264	(B) WHITE
GIGYF1	7q22.1	0.88	0.89	0.03	0.03	-0.01	0.0467	0.265	(B) WHITE
GADD45B	19p13.3	0.04	0.05	0.02	0.05	-0.01	0.0467	0.265	(B) WHITE
CTSE	1q32.1	0.82	0.81	0.04	0.05	0.01	0.0468	0.265	(A) BLACK OR AFRICAN AMERICAN
CNTFR	9p13.3	0.63	0.56	0.20	0.21	0.07	0.0468	0.265	(A) BLACK OR AFRICAN AMERICAN
LIMS3-LOC440895	2q13	0.83	0.81	0.06	0.09	0.02	0.0468	0.265	(A) BLACK OR AFRICAN AMERICAN
MMEL1	1p36.32	0.53	0.47	0.17	0.14	0.06	0.0468	0.265	(A) BLACK OR AFRICAN AMERICAN
RDH14	2p24.2	0.05	0.05	0.01	0.01	-0.00	0.0468	0.265	(B) WHITE
IFI30	19p13.11	0.50	0.54	0.09	0.09	-0.03	0.0468	0.265	(B) WHITE
WNT8B	10q24.31	0.02	0.02	0.01	0.00	0.00	0.0469	0.265	(A) BLACK OR AFRICAN AMERICAN
DOCK6	19p13.2	0.97	0.96	0.02	0.02	0.01	0.0470	0.265	(A) BLACK OR AFRICAN AMERICAN
FBXL19-AS1	16p11.2	0.02	0.02	0.00	0.00	0.00	0.0470	0.266	(A) BLACK OR AFRICAN AMERICAN
FIP1L1	4q12	0.28	0.26	0.06	0.08	0.02	0.0471	0.266	(A) BLACK OR AFRICAN AMERICAN
ATG2A	11q13.1	0.02	0.02	0.01	0.01	0.00	0.0471	0.266	(A) BLACK OR AFRICAN AMERICAN
DGAT2	11q13.5	0.12	0.09	0.07	0.06	0.02	0.0471	0.266	(A) BLACK OR AFRICAN AMERICAN
ARHGAP26	5q31.3	0.70	0.66	0.13	0.13	0.04	0.0472	0.266	(A) BLACK OR AFRICAN AMERICAN
FAM92B	16q24.1	0.99	0.99	0.00	0.02	0.00	0.0472	0.266	(A) BLACK OR AFRICAN AMERICAN
HNRNPM	19p13.2	0.08	0.08	0.01	0.01	-0.00	0.0472	0.266	(B) WHITE
KCNH3	12q13.12	0.65	0.62	0.10	0.09	0.03	0.0472	0.266	(A) BLACK OR AFRICAN AMERICAN
BPHL	6p25.2	0.34	0.37	0.11	0.11	-0.04	0.0472	0.266	(B) WHITE
CRHR2	7p14.3	0.06	0.07	0.03	0.06	-0.01	0.0473	0.266	(B) WHITE
MORC2	22q12.2	0.91	0.91	0.02	0.06	0.01	0.0473	0.266	(A) BLACK OR AFRICAN AMERICAN
MLXIP	12q24.31	0.63	0.59	0.12	0.12	0.04	0.0473	0.266	(A) BLACK OR AFRICAN AMERICAN
TBC1D32	6q22.31	0.04	0.04	0.01	0.01	0.00	0.0473	0.266	(A) BLACK OR AFRICAN AMERICAN
CHN2	7p14.3	0.39	0.31	0.26	0.19	0.08	0.0473	0.266	(A) BLACK OR AFRICAN AMERICAN
PUM1	1p35.2	0.32	0.29	0.11	0.10	0.04	0.0473	0.266	(A) BLACK OR AFRICAN AMERICAN
LTBR	12p13.31	0.04	0.03	0.01	0.01	0.00	0.0474	0.266	(A) BLACK OR AFRICAN AMERICAN
P2RY11	19p13.2	0.77	0.79	0.07	0.06	-0.02	0.0475	0.266	(B) WHITE
KCNN3	1q21.3	0.88	0.87	0.04	0.05	0.01	0.0475	0.266	(A) BLACK OR AFRICAN AMERICAN
IPW	15q11.2	0.69	0.73	0.12	0.11	-0.04	0.0475	0.266	(B) WHITE
NAB1	2q32.2	0.45	0.38	0.22	0.20	0.07	0.0475	0.266	(A) BLACK OR AFRICAN AMERICAN
PTGR1	9q31.3	0.86	0.84	0.09	0.10	0.03	0.0475	0.266	(A) BLACK OR AFRICAN AMERICAN
CHMP5	9p13.3	0.05	0.05	0.02	0.02	-0.01	0.0475	0.266	(B) WHITE
CXCL5	4q13.3	0.60	0.54	0.17	0.16	0.06	0.0475	0.266	(A) BLACK OR AFRICAN AMERICAN
LRRC27	10q26.3	0.09	0.10	0.03	0.03	-0.01	0.0476	0.266	(B) WHITE
EBF4	20p13	0.87	0.85	0.04	0.04	0.01	0.0477	0.267	(A) BLACK OR AFRICAN AMERICAN
CCL8	17q12	0.63	0.71	0.23	0.18	-0.08	0.0477	0.267	(B) WHITE
ZNF784	19q13.42	0.04	0.04	0.01	0.02	-0.00	0.0477	0.267	(B) WHITE
PHTF1	1p13.2	0.47	0.42	0.15	0.16	0.05	0.0477	0.267	(A) BLACK OR AFRICAN AMERICAN
GATD1	11p15.5	0.46	0.43	0.09	0.08	0.03	0.0477	0.267	(A) BLACK OR AFRICAN AMERICAN
GRWD1	19q13.33	0.02	0.02	0.00	0.00	0.00	0.0478	0.267	(A) BLACK OR AFRICAN AMERICAN
CGGBP1	3p11.1	0.14	0.10	0.13	0.03	0.04	0.0478	0.267	(A) BLACK OR AFRICAN AMERICAN
ZFP90	16q22.1	0.02	0.03	0.00	0.06	-0.01	0.0478	0.267	(B) WHITE
PSENEN	19q13.12	0.09	0.08	0.05	0.04	0.02	0.0479	0.267	(A) BLACK OR AFRICAN AMERICAN
KRT83	12q13.13	0.79	0.82	0.10	0.09	-0.03	0.0479	0.267	(B) WHITE
SLC41A3	3q21.2-q21.3	0.06	0.06	0.01	0.01	-0.00	0.0479	0.267	(B) WHITE
PCDHB6	5q31.3	0.64	0.68	0.14	0.11	-0.04	0.0480	0.268	(B) WHITE
ATP12A	13q12.12|13q12.1-q12.3	0.06	0.05	0.05	0.02	0.02	0.0480	0.268	(A) BLACK OR AFRICAN AMERICAN
COMMD9	11p13	0.07	0.07	0.01	0.02	-0.00	0.0481	0.268	(B) WHITE
CHST14	15q15.1	0.02	0.02	0.00	0.00	0.00	0.0481	0.268	(A) BLACK OR AFRICAN AMERICAN
LPGAT1	1q32.3	0.68	0.63	0.16	0.17	0.05	0.0481	0.268	(A) BLACK OR AFRICAN AMERICAN
CCNI	4q21.1	0.03	0.03	0.00	0.01	0.00	0.0482	0.268	(A) BLACK OR AFRICAN AMERICAN
TG	8q24.22	0.82	0.80	0.06	0.07	0.02	0.0482	0.268	(A) BLACK OR AFRICAN AMERICAN
ERBB2	17q12	0.77	0.81	0.12	0.10	-0.04	0.0482	0.268	(B) WHITE
VN1R2	19q13.42	0.77	0.83	0.18	0.13	-0.06	0.0483	0.268	(B) WHITE
REC8	14q12	0.55	0.52	0.10	0.10	0.03	0.0483	0.268	(A) BLACK OR AFRICAN AMERICAN
CSPG4	15q24.2	0.73	0.71	0.08	0.07	0.03	0.0484	0.269	(A) BLACK OR AFRICAN AMERICAN
IL27RA	19p13.12	0.02	0.02	0.00	0.00	0.00	0.0484	0.269	(A) BLACK OR AFRICAN AMERICAN
LILRA3	19q13.4	0.81	0.87	0.19	0.11	-0.06	0.0484	0.269	(B) WHITE
ASF1A	6q22.31	0.84	0.82	0.07	0.08	0.02	0.0485	0.269	(A) BLACK OR AFRICAN AMERICAN
UTS2	1p36.23	0.71	0.67	0.13	0.15	0.04	0.0485	0.269	(A) BLACK OR AFRICAN AMERICAN
MCRIP2	16p13.3	0.07	0.08	0.02	0.03	-0.01	0.0485	0.269	(B) WHITE
ALDH3B1	11q13.2	0.79	0.75	0.11	0.12	0.04	0.0485	0.269	(A) BLACK OR AFRICAN AMERICAN
LIME1	20q13.33	0.91	0.90	0.02	0.02	0.01	0.0485	0.269	(A) BLACK OR AFRICAN AMERICAN
SLC7A5P1	16p11.2	0.56	0.53	0.09	0.09	0.03	0.0485	0.269	(A) BLACK OR AFRICAN AMERICAN
RAD51AP1	12p13.32	0.05	0.05	0.02	0.04	-0.01	0.0486	0.269	(B) WHITE
GPAT3	4q21.23	0.70	0.65	0.16	0.16	0.05	0.0486	0.269	(A) BLACK OR AFRICAN AMERICAN
DEGS2	14q32.2	0.74	0.76	0.08	0.06	-0.02	0.0486	0.269	(B) WHITE
POLE4	2p12	0.03	0.03	0.02	0.02	0.01	0.0486	0.269	(A) BLACK OR AFRICAN AMERICAN
EDNRA	4q31.22-q31.23	0.78	0.76	0.06	0.06	0.02	0.0486	0.269	(A) BLACK OR AFRICAN AMERICAN
VSIG8	1q23.2	0.15	0.09	0.20	0.13	0.06	0.0486	0.269	(A) BLACK OR AFRICAN AMERICAN
FGFBP3	10q23.32	0.06	0.05	0.05	0.02	0.02	0.0487	0.269	(A) BLACK OR AFRICAN AMERICAN
WNT7B	22q13.31	0.35	0.30	0.15	0.12	0.05	0.0487	0.269	(A) BLACK OR AFRICAN AMERICAN
AARS2	6p21.1	0.10	0.11	0.03	0.04	-0.01	0.0487	0.269	(B) WHITE
SDC4	20q13.12	0.58	0.52	0.19	0.21	0.06	0.0489	0.270	(A) BLACK OR AFRICAN AMERICAN
GCNT1	9q21.13	0.89	0.87	0.07	0.10	0.03	0.0489	0.270	(A) BLACK OR AFRICAN AMERICAN
CST4	20p11.21	0.44	0.47	0.10	0.08	-0.03	0.0489	0.270	(B) WHITE
CHST15	10q26.13	0.85	0.89	0.13	0.07	-0.04	0.0489	0.270	(B) WHITE
CD248	11q13.2	0.68	0.65	0.09	0.09	0.03	0.0489	0.270	(A) BLACK OR AFRICAN AMERICAN
FZD4	11q14.2	0.52	0.46	0.17	0.15	0.06	0.0489	0.270	(A) BLACK OR AFRICAN AMERICAN
ECM1	1q21.2	0.74	0.72	0.08	0.07	0.03	0.0490	0.270	(A) BLACK OR AFRICAN AMERICAN
CEP350	1q25.2	0.04	0.04	0.01	0.01	0.00	0.0490	0.270	(A) BLACK OR AFRICAN AMERICAN
OPCML	11q25	0.09	0.11	0.06	0.07	-0.02	0.0491	0.270	(B) WHITE
MLANA	9p24.1	0.94	0.95	0.02	0.01	-0.01	0.0491	0.270	(B) WHITE
TNFSF4	1q25.1	0.21	0.18	0.10	0.08	0.03	0.0491	0.270	(A) BLACK OR AFRICAN AMERICAN
KRI1	19p13.2	0.03	0.03	0.01	0.01	0.00	0.0492	0.271	(A) BLACK OR AFRICAN AMERICAN
MLLT10	10p12.31	0.36	0.30	0.18	0.15	0.06	0.0493	0.271	(A) BLACK OR AFRICAN AMERICAN
EXOC2	6p25.3	0.96	0.96	0.01	0.01	-0.00	0.0493	0.271	(B) WHITE
TTLL2	6q27	0.90	0.92	0.07	0.04	-0.02	0.0493	0.271	(B) WHITE
IGFBP4	17q21.2	0.65	0.60	0.13	0.13	0.04	0.0494	0.271	(A) BLACK OR AFRICAN AMERICAN
KCNC2	12q21.1	0.88	0.86	0.06	0.09	0.02	0.0494	0.271	(A) BLACK OR AFRICAN AMERICAN
UBE2B	5q31.1	0.04	0.05	0.01	0.01	-0.00	0.0494	0.271	(B) WHITE
TSHZ3	19q12	0.70	0.66	0.14	0.13	0.04	0.0494	0.271	(A) BLACK OR AFRICAN AMERICAN
H2AFX	11q23.3	0.03	0.02	0.02	0.01	0.01	0.0494	0.271	(A) BLACK OR AFRICAN AMERICAN
EPCAM	2p21	0.41	0.46	0.14	0.14	-0.05	0.0495	0.271	(B) WHITE
TANGO6	16q22.1	0.88	0.87	0.03	0.03	0.01	0.0495	0.271	(A) BLACK OR AFRICAN AMERICAN
C1ORF174	1p36.32	0.34	0.30	0.11	0.08	0.03	0.0495	0.271	(A) BLACK OR AFRICAN AMERICAN
PLAAT1	3q29	0.32	0.37	0.15	0.16	-0.05	0.0496	0.271	(B) WHITE
PMS2CL	7p22.1	0.84	0.85	0.03	0.02	-0.01	0.0496	0.271	(B) WHITE
TMEM151B	6p21.1	0.86	0.85	0.02	0.03	0.01	0.0496	0.271	(A) BLACK OR AFRICAN AMERICAN
EID3	12q23.3	0.58	0.53	0.15	0.14	0.05	0.0496	0.271	(A) BLACK OR AFRICAN AMERICAN
MGAT5B	17q25.2	0.02	0.02	0.00	0.01	0.00	0.0496	0.271	(A) BLACK OR AFRICAN AMERICAN
EIF2AK2	2p22.2	0.60	0.55	0.14	0.13	0.04	0.0497	0.271	(A) BLACK OR AFRICAN AMERICAN
AKR7L	1p36.13|1p35-p36.1	0.24	0.27	0.08	0.07	-0.02	0.0497	0.272	(B) WHITE
RBM12B	8q22.1	0.89	0.90	0.02	0.02	-0.01	0.0497	0.272	(B) WHITE
APOE	19q13.32	0.89	0.90	0.04	0.04	-0.01	0.0498	0.272	(B) WHITE
