Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
PRKACA	19p13.12	0.33	0.28	0.14	0.14	0.05	7.615e-3	0.0423	(A) BLACK OR AFRICAN AMERICAN
OSCP1	1p34.3	0.43	0.38	0.15	0.13	0.05	7.633e-3	0.0424	(A) BLACK OR AFRICAN AMERICAN
PGM1	1p31.3	0.47	0.55	0.23	0.23	-0.08	7.633e-3	0.0424	(B) WHITE
LINC02035	3q21.1	0.82	0.77	0.15	0.15	0.05	7.653e-3	0.0425	(A) BLACK OR AFRICAN AMERICAN
CSNK1A1	5q32	0.57	0.51	0.19	0.17	0.06	7.657e-3	0.0425	(A) BLACK OR AFRICAN AMERICAN
DGKZ	11p11.2	0.37	0.43	0.17	0.17	-0.06	7.660e-3	0.0425	(B) WHITE
CCNE2	8q22.1	0.89	0.92	0.07	0.05	-0.02	7.670e-3	0.0425	(B) WHITE
PRAME	22q11.22	0.40	0.48	0.25	0.22	-0.09	7.672e-3	0.0425	(B) WHITE
GUCY1A1	4q32.1	0.69	0.77	0.22	0.18	-0.08	7.675e-3	0.0425	(B) WHITE
PIGK	1p31.1	0.02	0.02	0.01	0.01	0.00	7.680e-3	0.0425	(A) BLACK OR AFRICAN AMERICAN
ADPRHL2	1p34.3	0.82	0.85	0.08	0.04	-0.03	7.683e-3	0.0425	(B) WHITE
ZFYVE21	14q32.33	0.48	0.42	0.18	0.17	0.06	7.684e-3	0.0425	(A) BLACK OR AFRICAN AMERICAN
RAB43	3q21.3	0.91	0.92	0.03	0.02	-0.01	7.694e-3	0.0426	(B) WHITE
FAM30A	14q32.33	0.59	0.64	0.15	0.12	-0.05	7.694e-3	0.0426	(B) WHITE
SLFN12	17q12	0.29	0.37	0.23	0.23	-0.08	7.695e-3	0.0426	(B) WHITE
FLJ34503	6q21	0.43	0.36	0.20	0.18	0.07	7.708e-3	0.0426	(A) BLACK OR AFRICAN AMERICAN
ZSCAN25	7q22.1	0.78	0.81	0.08	0.05	-0.03	7.709e-3	0.0426	(B) WHITE
PPA1	10q22.1	0.01	0.01	0.00	0.00	0.00	7.722e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
CDK1	10q21.2	0.03	0.03	0.01	0.01	0.00	7.735e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
ASAP3	1p36.12	0.25	0.21	0.10	0.10	0.03	7.738e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
RIOK2	5q15	0.22	0.19	0.09	0.09	0.03	7.740e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
RAB26	16p13.3	0.35	0.30	0.15	0.11	0.05	7.743e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
SDC1	2p24.1	0.54	0.61	0.22	0.18	-0.07	7.744e-3	0.0427	(B) WHITE
MCF2L	13q34	0.61	0.56	0.17	0.14	0.06	7.745e-3	0.0427	(A) BLACK OR AFRICAN AMERICAN
ZNF425	7q36.1	0.06	0.07	0.03	0.05	-0.01	7.756e-3	0.0427	(B) WHITE
S1PR4	19p13.3	0.62	0.67	0.14	0.14	-0.05	7.761e-3	0.0428	(B) WHITE
PTPN23	3p21.31	0.52	0.45	0.21	0.19	0.07	7.773e-3	0.0428	(A) BLACK OR AFRICAN AMERICAN
ZNF286B	17p11.2	0.76	0.82	0.17	0.11	-0.06	7.781e-3	0.0428	(B) WHITE
MIEF2	17p11.2	0.48	0.45	0.10	0.10	0.04	7.784e-3	0.0428	(A) BLACK OR AFRICAN AMERICAN
RTKN2	10q21.2	0.89	0.93	0.12	0.06	-0.04	7.792e-3	0.0429	(B) WHITE
SSRP1	11q12.1	0.84	0.86	0.06	0.06	-0.02	7.793e-3	0.0429	(B) WHITE
SPATC1	8q24.3	0.78	0.83	0.13	0.11	-0.04	7.797e-3	0.0429	(B) WHITE
TMEM185B	2q14.2	0.01	0.01	0.00	0.00	0.00	7.808e-3	0.0429	(A) BLACK OR AFRICAN AMERICAN
MGST1	12p12.3	0.21	0.25	0.13	0.16	-0.05	7.808e-3	0.0429	(B) WHITE
THAP2	12q21.1	0.03	0.03	0.01	0.01	0.00	7.821e-3	0.0429	(A) BLACK OR AFRICAN AMERICAN
FAM174B	15q26.1	0.57	0.48	0.24	0.21	0.08	7.829e-3	0.0430	(A) BLACK OR AFRICAN AMERICAN
ATAD3C	1p36.33	0.79	0.76	0.10	0.13	0.04	7.841e-3	0.0430	(A) BLACK OR AFRICAN AMERICAN
DOC2B	17p13.3	0.74	0.68	0.17	0.18	0.06	7.859e-3	0.0431	(A) BLACK OR AFRICAN AMERICAN
AOC2	17q21.31	0.82	0.83	0.04	0.04	-0.01	7.864e-3	0.0431	(B) WHITE
TCEA3	1p36.12	0.36	0.31	0.15	0.13	0.05	7.864e-3	0.0431	(A) BLACK OR AFRICAN AMERICAN
CAPS	19p13.3	0.73	0.78	0.13	0.11	-0.04	7.880e-3	0.0432	(B) WHITE
FGF7	15q21.2	0.83	0.88	0.15	0.07	-0.05	7.881e-3	0.0432	(B) WHITE
LRRC25	19p13.11	0.72	0.78	0.19	0.14	-0.06	7.886e-3	0.0432	(B) WHITE
SLCO3A1	15q26.1	0.56	0.62	0.19	0.20	-0.07	7.910e-3	0.0433	(B) WHITE
ZDHHC21	9p22.3	0.65	0.59	0.16	0.19	0.06	7.912e-3	0.0433	(A) BLACK OR AFRICAN AMERICAN
ZDHHC13	11p15.1	0.09	0.08	0.04	0.04	0.01	7.920e-3	0.0433	(A) BLACK OR AFRICAN AMERICAN
SPPL2A	15q21.2	0.24	0.20	0.13	0.10	0.04	7.925e-3	0.0433	(A) BLACK OR AFRICAN AMERICAN
SNX5	20p11.23	0.02	0.02	0.01	0.01	0.00	7.927e-3	0.0433	(A) BLACK OR AFRICAN AMERICAN
CCDC134	22q13.2	0.88	0.89	0.03	0.03	-0.01	7.930e-3	0.0433	(B) WHITE
DLG5	10q22.3	0.60	0.54	0.18	0.16	0.06	7.940e-3	0.0434	(A) BLACK OR AFRICAN AMERICAN
GPR12	13q12.13	0.53	0.59	0.15	0.18	-0.05	7.944e-3	0.0434	(B) WHITE
HSD17B14	19q13.33	0.41	0.50	0.26	0.27	-0.09	7.949e-3	0.0434	(B) WHITE
GCHFR	15q15.1	0.73	0.77	0.12	0.10	-0.04	7.965e-3	0.0435	(B) WHITE
ERBB2	17q12	0.62	0.55	0.23	0.19	0.08	7.968e-3	0.0435	(A) BLACK OR AFRICAN AMERICAN
OLFM2	19p13.2	0.45	0.54	0.24	0.22	-0.08	7.977e-3	0.0435	(B) WHITE
DIO3	14q32.31	0.41	0.34	0.21	0.20	0.07	7.995e-3	0.0435	(A) BLACK OR AFRICAN AMERICAN
MRPS17	7p11.2	0.03	0.03	0.01	0.04	-0.01	7.996e-3	0.0435	(B) WHITE
NCAM2	21q21.1	0.61	0.55	0.20	0.19	0.07	7.998e-3	0.0435	(A) BLACK OR AFRICAN AMERICAN
H6PD	1p36.22	0.59	0.65	0.18	0.17	-0.06	7.999e-3	0.0435	(B) WHITE
FKBP1A	20p13	0.79	0.83	0.13	0.10	-0.04	8.002e-3	0.0436	(B) WHITE
C4ORF46	4q32.1	0.02	0.02	0.01	0.01	0.00	8.010e-3	0.0436	(A) BLACK OR AFRICAN AMERICAN
GRIK2	6q16.3	0.42	0.35	0.22	0.18	0.07	8.013e-3	0.0436	(A) BLACK OR AFRICAN AMERICAN
AMDHD2	16p13.3	0.86	0.87	0.03	0.03	-0.01	8.015e-3	0.0436	(B) WHITE
CCDC124	19p13.11	0.04	0.04	0.01	0.01	-0.00	8.018e-3	0.0436	(B) WHITE
LOC401463	8q12.3	0.42	0.51	0.25	0.22	-0.09	8.026e-3	0.0436	(B) WHITE
GPBP1L1	1p34.1	0.10	0.09	0.04	0.04	0.01	8.049e-3	0.0437	(A) BLACK OR AFRICAN AMERICAN
NFKBIZ	3q12.3	0.83	0.77	0.19	0.22	0.07	8.050e-3	0.0437	(A) BLACK OR AFRICAN AMERICAN
RETSAT	2p11.2	0.11	0.09	0.04	0.03	0.01	8.052e-3	0.0437	(A) BLACK OR AFRICAN AMERICAN
EAF2	3q13.33	0.66	0.73	0.20	0.17	-0.07	8.064e-3	0.0437	(B) WHITE
RP1L1	8p23.1	0.68	0.75	0.21	0.17	-0.07	8.067e-3	0.0437	(B) WHITE
ACOX3	4p16.1	0.74	0.68	0.18	0.19	0.06	8.071e-3	0.0438	(A) BLACK OR AFRICAN AMERICAN
PHF10	6q27	0.11	0.09	0.05	0.03	0.02	8.076e-3	0.0438	(A) BLACK OR AFRICAN AMERICAN
PTDSS2	11p15.5	0.91	0.92	0.02	0.02	-0.01	8.090e-3	0.0438	(B) WHITE
TTLL12	22q13.2	0.68	0.73	0.16	0.14	-0.05	8.098e-3	0.0439	(B) WHITE
UGP2	2p15	0.88	0.92	0.11	0.05	-0.04	8.107e-3	0.0439	(B) WHITE
IDI2-AS1	10p15.3	0.82	0.89	0.21	0.12	-0.07	8.109e-3	0.0439	(B) WHITE
PDLIM2	8p21.3	0.64	0.72	0.22	0.17	-0.07	8.116e-3	0.0439	(B) WHITE
MAN1C1	1p36.11	0.62	0.57	0.14	0.15	0.05	8.118e-3	0.0439	(A) BLACK OR AFRICAN AMERICAN
ARL9	4q12	0.29	0.36	0.19	0.19	-0.07	8.121e-3	0.0439	(B) WHITE
ZFP36L1	14q24.1	0.61	0.66	0.14	0.14	-0.05	8.133e-3	0.0439	(B) WHITE
ZWINT	10q21.1	0.01	0.01	0.00	0.00	0.00	8.134e-3	0.0439	(A) BLACK OR AFRICAN AMERICAN
PNRC2	1p36.11	0.03	0.03	0.01	0.01	0.00	8.139e-3	0.0439	(A) BLACK OR AFRICAN AMERICAN
SLC22A2	6q25.3	0.41	0.36	0.15	0.13	0.05	8.139e-3	0.0439	(A) BLACK OR AFRICAN AMERICAN
VDAC1	5q31.1	0.71	0.77	0.16	0.13	-0.05	8.148e-3	0.0440	(B) WHITE
HDAC5	17q21.31	0.87	0.90	0.10	0.06	-0.03	8.184e-3	0.0441	(B) WHITE
PKIA	8q21.13	0.56	0.64	0.24	0.22	-0.08	8.184e-3	0.0441	(B) WHITE
NRN1	6p25.1	0.29	0.38	0.28	0.26	-0.09	8.193e-3	0.0442	(B) WHITE
PTGDS	9q34.3	0.76	0.77	0.05	0.05	-0.02	8.199e-3	0.0442	(B) WHITE
AOPEP	9q22.32	0.52	0.59	0.21	0.18	-0.07	8.203e-3	0.0442	(B) WHITE
SFI1	22q12.2	0.06	0.07	0.04	0.08	-0.02	8.204e-3	0.0442	(B) WHITE
PITX1	5q31.1	0.41	0.47	0.19	0.19	-0.06	8.225e-3	0.0443	(B) WHITE
NLRC5	16q13	0.51	0.56	0.14	0.13	-0.05	8.263e-3	0.0444	(B) WHITE
LTN1	21q21.3	0.06	0.05	0.02	0.02	0.01	8.265e-3	0.0444	(A) BLACK OR AFRICAN AMERICAN
FEZ1	11q24.2	0.76	0.72	0.12	0.13	0.04	8.265e-3	0.0444	(A) BLACK OR AFRICAN AMERICAN
IL1A	2q14.1	0.56	0.65	0.27	0.22	-0.09	8.265e-3	0.0444	(B) WHITE
SPATA13	13q12.12	0.79	0.73	0.15	0.17	0.05	8.273e-3	0.0444	(A) BLACK OR AFRICAN AMERICAN
BRCA2	13q13.1	0.81	0.86	0.17	0.12	-0.06	8.275e-3	0.0444	(B) WHITE
COQ3	6q16.2	0.50	0.59	0.24	0.23	-0.08	8.276e-3	0.0444	(B) WHITE
PLEKHH3	17q21.2	0.30	0.25	0.17	0.15	0.06	8.284e-3	0.0445	(A) BLACK OR AFRICAN AMERICAN
DPEP2	16q22.1	0.77	0.79	0.07	0.06	-0.02	8.287e-3	0.0445	(B) WHITE
MAPK11	22q13.33	0.04	0.05	0.02	0.04	-0.01	8.294e-3	0.0445	(B) WHITE
STAB1	3p21.1	0.65	0.68	0.09	0.09	-0.03	8.301e-3	0.0445	(B) WHITE
SLC35F6	2p23.3	0.34	0.30	0.11	0.11	0.04	8.309e-3	0.0445	(A) BLACK OR AFRICAN AMERICAN
INAVA	1q32.1	0.58	0.65	0.22	0.20	-0.08	8.316e-3	0.0446	(B) WHITE
DCST2	1q21.3	0.73	0.75	0.05	0.04	-0.02	8.337e-3	0.0446	(B) WHITE
TMEM158	3p21.31	0.58	0.65	0.20	0.16	-0.07	8.340e-3	0.0446	(B) WHITE
NYNRIN	14q12	0.31	0.37	0.16	0.16	-0.06	8.343e-3	0.0446	(B) WHITE
ZNF567	19q13.12	0.06	0.07	0.03	0.03	-0.01	8.346e-3	0.0446	(B) WHITE
WASL	7q31.32	0.47	0.40	0.19	0.18	0.06	8.348e-3	0.0446	(A) BLACK OR AFRICAN AMERICAN
NES	1q23.1	0.73	0.77	0.12	0.10	-0.04	8.349e-3	0.0446	(B) WHITE
HHIPL1	14q32.2	0.38	0.43	0.17	0.18	-0.06	8.356e-3	0.0447	(B) WHITE
ADAMTS4	1q23.3	0.59	0.54	0.14	0.16	0.05	8.362e-3	0.0447	(A) BLACK OR AFRICAN AMERICAN
ZNF445	3p21.31	0.70	0.63	0.20	0.19	0.07	8.380e-3	0.0448	(A) BLACK OR AFRICAN AMERICAN
PARD6B	20q13.13	0.64	0.57	0.21	0.22	0.07	8.381e-3	0.0448	(A) BLACK OR AFRICAN AMERICAN
AGTRAP	1p36.22	0.47	0.42	0.13	0.11	0.04	8.399e-3	0.0448	(A) BLACK OR AFRICAN AMERICAN
NDUFAF2	5q12.1	0.03	0.04	0.02	0.03	-0.01	8.403e-3	0.0448	(B) WHITE
CPNE8	12q12	0.26	0.34	0.23	0.23	-0.08	8.414e-3	0.0449	(B) WHITE
FBLN2	3p25.1	0.68	0.77	0.24	0.19	-0.08	8.420e-3	0.0449	(B) WHITE
TAS2R3	7q34	0.94	0.94	0.01	0.01	-0.01	8.423e-3	0.0449	(B) WHITE
CDC42EP3	2p22.2	0.59	0.67	0.25	0.20	-0.08	8.426e-3	0.0449	(B) WHITE
SRP68	17q25.1	0.10	0.12	0.03	0.05	-0.01	8.430e-3	0.0449	(B) WHITE
LRRC8C	1p22.2	0.51	0.58	0.21	0.19	-0.07	8.446e-3	0.0450	(B) WHITE
ODAM	4q13.3	0.62	0.56	0.19	0.20	0.07	8.446e-3	0.0450	(A) BLACK OR AFRICAN AMERICAN
XKR5	8p23.1	0.19	0.25	0.16	0.18	-0.06	8.463e-3	0.0450	(B) WHITE
ORAI3	16p11.2	0.02	0.02	0.00	0.01	0.00	8.466e-3	0.0450	(A) BLACK OR AFRICAN AMERICAN
LRRC14B	5p15.33	0.60	0.53	0.20	0.21	0.07	8.477e-3	0.0450	(A) BLACK OR AFRICAN AMERICAN
SRSF9	12q24.31	0.03	0.03	0.01	0.01	0.00	8.477e-3	0.0450	(A) BLACK OR AFRICAN AMERICAN
EXOC2	6p25.3	0.80	0.74	0.16	0.17	0.05	8.478e-3	0.0450	(A) BLACK OR AFRICAN AMERICAN
ANPEP	15q26.1	0.44	0.49	0.17	0.18	-0.06	8.479e-3	0.0450	(B) WHITE
BCAS2	1p13.2	0.03	0.03	0.01	0.01	0.00	8.491e-3	0.0451	(A) BLACK OR AFRICAN AMERICAN
SMAD2	18q21.1	0.03	0.02	0.00	0.00	0.00	8.522e-3	0.0452	(A) BLACK OR AFRICAN AMERICAN
BCL9L	11q23.3	0.90	0.92	0.05	0.04	-0.02	8.531e-3	0.0453	(B) WHITE
TRAK1	3p22.1	0.34	0.29	0.15	0.13	0.05	8.536e-3	0.0453	(A) BLACK OR AFRICAN AMERICAN
F5	1q24.2	0.49	0.53	0.13	0.13	-0.04	8.559e-3	0.0454	(B) WHITE
IQCD	12q24.13	0.14	0.10	0.10	0.07	0.03	8.562e-3	0.0454	(A) BLACK OR AFRICAN AMERICAN
AQP4-AS1	18q11.2	0.82	0.86	0.11	0.09	-0.04	8.564e-3	0.0454	(B) WHITE
GPRIN2	10q11.22	0.45	0.51	0.18	0.17	-0.06	8.566e-3	0.0454	(B) WHITE
GRM1	6q24.3	0.32	0.25	0.21	0.20	0.07	8.575e-3	0.0454	(A) BLACK OR AFRICAN AMERICAN
COL4A3BP	5q13.3	0.02	0.02	0.01	0.01	0.00	8.576e-3	0.0454	(A) BLACK OR AFRICAN AMERICAN
KDR	4q12	0.63	0.68	0.15	0.11	-0.05	8.577e-3	0.0454	(B) WHITE
PABPC4	1p34.3	0.18	0.22	0.13	0.14	-0.04	8.578e-3	0.0454	(B) WHITE
NAA16	13q14.11	0.07	0.06	0.03	0.03	0.01	8.581e-3	0.0454	(A) BLACK OR AFRICAN AMERICAN
SPATA9	5q15	0.86	0.88	0.08	0.05	-0.03	8.598e-3	0.0455	(B) WHITE
TBC1D2	9q22.33	0.46	0.40	0.17	0.16	0.06	8.603e-3	0.0455	(A) BLACK OR AFRICAN AMERICAN
GFRA3	5q31.2	0.23	0.29	0.17	0.17	-0.06	8.605e-3	0.0455	(B) WHITE
CCL5	17q12	0.64	0.69	0.15	0.14	-0.05	8.613e-3	0.0455	(B) WHITE
FER1L4	20q11.22	0.85	0.87	0.06	0.05	-0.02	8.622e-3	0.0455	(B) WHITE
MYO5C	15q21.2	0.21	0.17	0.12	0.09	0.04	8.645e-3	0.0456	(A) BLACK OR AFRICAN AMERICAN
TKTL2	4q32.2	0.77	0.83	0.19	0.14	-0.06	8.652e-3	0.0456	(B) WHITE
PPM1J	1p13.2	0.78	0.72	0.19	0.19	0.06	8.657e-3	0.0456	(A) BLACK OR AFRICAN AMERICAN
XPNPEP1	10q25.1	0.24	0.28	0.13	0.14	-0.04	8.659e-3	0.0456	(B) WHITE
RAET1E	6q25.1	0.75	0.81	0.18	0.11	-0.06	8.675e-3	0.0457	(B) WHITE
PHKG1	7p11.2	0.77	0.80	0.09	0.09	-0.03	8.680e-3	0.0457	(B) WHITE
FANCC	9q22.32	0.63	0.70	0.20	0.17	-0.07	8.689e-3	0.0457	(B) WHITE
WFDC3	20q13.12	0.02	0.02	0.01	0.02	-0.00	8.690e-3	0.0457	(B) WHITE
ZC3H18	16q24.2	0.91	0.92	0.02	0.03	-0.01	8.708e-3	0.0458	(B) WHITE
SPSB1	1p36.22	0.56	0.63	0.19	0.15	-0.06	8.719e-3	0.0459	(B) WHITE
CTSC	11q14.2	0.70	0.77	0.20	0.14	-0.06	8.736e-3	0.0459	(B) WHITE
SHROOM3	4q21.1	0.64	0.56	0.23	0.20	0.08	8.763e-3	0.0461	(A) BLACK OR AFRICAN AMERICAN
MAP2	2q34	0.70	0.77	0.21	0.16	-0.07	8.763e-3	0.0461	(B) WHITE
PPP6R1	19q13.42	0.69	0.74	0.16	0.14	-0.05	8.775e-3	0.0461	(B) WHITE
EIF4G1	3q27.1	0.80	0.85	0.15	0.11	-0.05	8.788e-3	0.0462	(B) WHITE
KBTBD8	3p14.1	0.19	0.25	0.19	0.19	-0.06	8.800e-3	0.0462	(B) WHITE
DPP9	19p13.3	0.90	0.91	0.02	0.02	-0.01	8.804e-3	0.0462	(B) WHITE
GPAT2	2q11.2	0.92	0.96	0.13	0.05	-0.04	8.805e-3	0.0462	(B) WHITE
IFI16	1q23.1	0.07	0.10	0.07	0.11	-0.02	8.815e-3	0.0462	(B) WHITE
CAPN2	1q41	0.35	0.41	0.19	0.20	-0.06	8.822e-3	0.0463	(B) WHITE
CXCL5	4q13.3	0.36	0.43	0.20	0.20	-0.07	8.833e-3	0.0463	(B) WHITE
KLHL38	8q24.13	0.59	0.65	0.18	0.20	-0.06	8.841e-3	0.0463	(B) WHITE
ELK4	1q32.1	0.02	0.02	0.00	0.00	0.00	8.845e-3	0.0463	(A) BLACK OR AFRICAN AMERICAN
PPP1R12A	12q21.2-q21.31	0.04	0.03	0.01	0.01	0.00	8.857e-3	0.0464	(A) BLACK OR AFRICAN AMERICAN
TEF	22q13.2	0.52	0.46	0.19	0.16	0.06	8.870e-3	0.0464	(A) BLACK OR AFRICAN AMERICAN
SALL3	18q23	0.76	0.79	0.11	0.10	-0.04	8.882e-3	0.0465	(B) WHITE
CENPJ	13q12.12-q12.13	0.87	0.88	0.04	0.03	-0.01	8.894e-3	0.0465	(B) WHITE
TSPAN2	1p13.2	0.36	0.43	0.19	0.19	-0.06	8.902e-3	0.0465	(B) WHITE
LILRB3	19q13.42	0.91	0.93	0.06	0.04	-0.02	8.914e-3	0.0466	(B) WHITE
DMRT3	9p24.3	0.56	0.60	0.13	0.11	-0.04	8.924e-3	0.0466	(B) WHITE
CDC42SE2	5q31.1	0.02	0.01	0.00	0.00	0.00	8.936e-3	0.0467	(A) BLACK OR AFRICAN AMERICAN
STX18	4p16.3-p16.2	0.73	0.67	0.18	0.16	0.06	8.957e-3	0.0468	(A) BLACK OR AFRICAN AMERICAN
MICAL1	6q21	0.89	0.90	0.03	0.03	-0.01	8.958e-3	0.0468	(B) WHITE
FRMD1	6q27	0.81	0.83	0.05	0.04	-0.02	8.964e-3	0.0468	(B) WHITE
TCF20	22q13.2|22q13.3	0.75	0.80	0.14	0.11	-0.05	8.969e-3	0.0468	(B) WHITE
IL12RB1	19p13.11	0.52	0.58	0.18	0.16	-0.06	8.980e-3	0.0468	(B) WHITE
FAM13A-AS1	4q22.1	0.85	0.87	0.06	0.06	-0.02	8.985e-3	0.0468	(B) WHITE
NPEPPS	17q21.32	0.46	0.39	0.22	0.20	0.08	8.986e-3	0.0468	(A) BLACK OR AFRICAN AMERICAN
SAA1	11p15.1	0.52	0.57	0.17	0.15	-0.06	9.002e-3	0.0469	(B) WHITE
ENPP6	4q35.1	0.27	0.34	0.22	0.24	-0.08	9.006e-3	0.0469	(B) WHITE
SDF2L1	22q11.21	0.84	0.87	0.09	0.08	-0.03	9.008e-3	0.0469	(B) WHITE
METRN	16p13.3	0.34	0.29	0.14	0.13	0.05	9.041e-3	0.0470	(A) BLACK OR AFRICAN AMERICAN
PI15	8q21.13	0.28	0.32	0.13	0.17	-0.05	9.044e-3	0.0470	(B) WHITE
SMUG1	12q13.13	0.06	0.05	0.01	0.01	0.00	9.048e-3	0.0470	(A) BLACK OR AFRICAN AMERICAN
PHRF1	11p15.5	0.92	0.93	0.02	0.02	-0.01	9.050e-3	0.0470	(B) WHITE
ENPP2	8q24.12	0.52	0.60	0.26	0.23	-0.09	9.070e-3	0.0471	(B) WHITE
MFSD4A-AS1	1q32.1	0.91	0.90	0.03	0.05	0.01	9.077e-3	0.0472	(A) BLACK OR AFRICAN AMERICAN
DAXX	6p21.32	0.75	0.69	0.16	0.18	0.05	9.094e-3	0.0472	(A) BLACK OR AFRICAN AMERICAN
KCNK7	11q13.1	0.81	0.85	0.13	0.08	-0.04	9.104e-3	0.0473	(B) WHITE
TRMT11	6q22.32	0.84	0.89	0.14	0.12	-0.05	9.106e-3	0.0473	(B) WHITE
LRTOMT	11q13.4	0.19	0.14	0.15	0.12	0.05	9.113e-3	0.0473	(A) BLACK OR AFRICAN AMERICAN
NUMB	14q24.2-q24.3	0.05	0.05	0.02	0.02	0.01	9.116e-3	0.0473	(A) BLACK OR AFRICAN AMERICAN
KIAA2013	1p36.22	0.40	0.42	0.05	0.05	-0.02	9.117e-3	0.0473	(B) WHITE
SRSF5	14q24.1	0.79	0.72	0.19	0.21	0.07	9.130e-3	0.0473	(A) BLACK OR AFRICAN AMERICAN
CCDC88C	14q32.11-q32.12	0.58	0.53	0.15	0.15	0.05	9.131e-3	0.0473	(A) BLACK OR AFRICAN AMERICAN
TRIM27	6p22.1	0.89	0.92	0.08	0.05	-0.03	9.132e-3	0.0473	(B) WHITE
RAPGEF3	12q13.11	0.32	0.27	0.14	0.14	0.05	9.141e-3	0.0473	(A) BLACK OR AFRICAN AMERICAN
EGFL8	6p21.32	0.87	0.89	0.05	0.03	-0.02	9.142e-3	0.0473	(B) WHITE
TNF	6p21.33	0.81	0.85	0.12	0.11	-0.04	9.150e-3	0.0473	(B) WHITE
NYAP1	7q22.1	0.81	0.83	0.08	0.05	-0.03	9.152e-3	0.0473	(B) WHITE
S100A13	1q21.3	0.46	0.51	0.17	0.16	-0.06	9.160e-3	0.0473	(B) WHITE
IL36RN	2q14.1	0.89	0.91	0.09	0.05	-0.03	9.160e-3	0.0473	(B) WHITE
AEBP1	7p13	0.83	0.89	0.17	0.14	-0.06	9.172e-3	0.0474	(B) WHITE
RBM19	12q24.13-q24.21	0.90	0.91	0.02	0.02	-0.01	9.205e-3	0.0475	(B) WHITE
PON2	7q21.3	0.52	0.45	0.19	0.17	0.06	9.216e-3	0.0476	(A) BLACK OR AFRICAN AMERICAN
NME4	16p13.3	0.27	0.23	0.13	0.09	0.04	9.226e-3	0.0476	(A) BLACK OR AFRICAN AMERICAN
ZNF358	19p13.2	0.03	0.03	0.01	0.03	-0.00	9.227e-3	0.0476	(B) WHITE
GRK2	11q13.2	0.83	0.84	0.03	0.03	-0.01	9.240e-3	0.0477	(B) WHITE
C19ORF48	19q13.33	0.92	0.93	0.03	0.03	-0.01	9.244e-3	0.0477	(B) WHITE
SVOPL	7q34	0.37	0.41	0.14	0.13	-0.05	9.249e-3	0.0477	(B) WHITE
INHA	2q35	0.60	0.53	0.21	0.20	0.07	9.263e-3	0.0477	(A) BLACK OR AFRICAN AMERICAN
RABL2A	2q14.1	0.04	0.04	0.01	0.01	-0.00	9.289e-3	0.0478	(B) WHITE
NECAP1	12p13.31	0.01	0.01	0.00	0.00	0.00	9.292e-3	0.0478	(A) BLACK OR AFRICAN AMERICAN
DMRTA1	9p21.3	0.19	0.24	0.17	0.17	-0.06	9.303e-3	0.0479	(B) WHITE
TUBBP5	9q34.3	0.33	0.36	0.08	0.10	-0.03	9.329e-3	0.0480	(B) WHITE
EHBP1	2p15	0.74	0.79	0.17	0.12	-0.06	9.342e-3	0.0481	(B) WHITE
ZNF582	19q13.43	0.22	0.14	0.24	0.21	0.08	9.344e-3	0.0481	(A) BLACK OR AFRICAN AMERICAN
DGKA	12q13.2	0.56	0.61	0.14	0.13	-0.05	9.350e-3	0.0481	(B) WHITE
POU2F1	1q24.2	0.09	0.06	0.08	0.06	0.03	9.352e-3	0.0481	(A) BLACK OR AFRICAN AMERICAN
MLKL	16q23.1	0.56	0.62	0.21	0.17	-0.07	9.355e-3	0.0481	(B) WHITE
KLLN	10q23.31	0.03	0.02	0.01	0.01	0.00	9.369e-3	0.0481	(A) BLACK OR AFRICAN AMERICAN
TMEM102	17p13.1	0.04	0.04	0.02	0.02	-0.01	9.376e-3	0.0481	(B) WHITE
ANP32B	9q22.33	0.35	0.43	0.23	0.24	-0.08	9.386e-3	0.0482	(B) WHITE
ARSI	5q32	0.74	0.77	0.07	0.07	-0.03	9.415e-3	0.0483	(B) WHITE
SLC22A15	1p13.1	0.29	0.34	0.14	0.17	-0.05	9.416e-3	0.0483	(B) WHITE
SLAMF7	1q23.3	0.54	0.62	0.26	0.22	-0.08	9.418e-3	0.0483	(B) WHITE
FAM169A	5q13.3	0.03	0.04	0.01	0.05	-0.01	9.419e-3	0.0483	(B) WHITE
CST2	20p11.21	0.71	0.78	0.22	0.19	-0.07	9.420e-3	0.0483	(B) WHITE
TWF1	12q12	0.01	0.01	0.00	0.00	0.00	9.426e-3	0.0483	(A) BLACK OR AFRICAN AMERICAN
SLC24A4	14q32.12	0.36	0.45	0.27	0.26	-0.09	9.434e-3	0.0483	(B) WHITE
MAP2K3	17p11.2	0.83	0.85	0.08	0.06	-0.03	9.435e-3	0.0483	(B) WHITE
RNF186	1p36.13	0.89	0.91	0.06	0.05	-0.02	9.442e-3	0.0483	(B) WHITE
RIMS2	8q22.3	0.17	0.22	0.15	0.17	-0.05	9.448e-3	0.0483	(B) WHITE
