Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
BTBD2	19p13.3	0.88	0.90	0.03	0.03	-0.02	9.836e-6	7.875e-4	(B) WHITE
PMF1	1q22	0.85	0.87	0.03	0.03	-0.02	1.019e-5	8.114e-4	(B) WHITE
S100A9	1q21.3	0.32	0.42	0.18	0.17	-0.10	1.028e-5	8.133e-4	(B) WHITE
THPO	3q27.1	0.67	0.55	0.20	0.19	0.12	1.037e-5	8.133e-4	(A) BLACK OR AFRICAN AMERICAN
ALG10	12p11.1	0.10	0.08	0.04	0.04	0.02	1.037e-5	8.133e-4	(A) BLACK OR AFRICAN AMERICAN
FADS3	11q12.2	0.85	0.89	0.06	0.04	-0.04	1.051e-5	8.181e-4	(B) WHITE
CLSTN2	3q23	0.63	0.49	0.24	0.19	0.14	1.054e-5	8.181e-4	(A) BLACK OR AFRICAN AMERICAN
GALM	2p22.1	0.28	0.39	0.19	0.20	-0.11	1.124e-5	8.607e-4	(B) WHITE
TOLLIP	11p15.5	0.58	0.47	0.19	0.20	0.11	1.124e-5	8.607e-4	(A) BLACK OR AFRICAN AMERICAN
SCOC	4q31.1	0.66	0.53	0.22	0.19	0.13	1.126e-5	8.607e-4	(A) BLACK OR AFRICAN AMERICAN
METTL3	14q11.2	0.57	0.45	0.21	0.17	0.12	1.146e-5	8.701e-4	(A) BLACK OR AFRICAN AMERICAN
APOA1	11q23.3	0.78	0.72	0.10	0.12	0.06	1.150e-5	8.701e-4	(A) BLACK OR AFRICAN AMERICAN
CCDC153	11q23.3	0.76	0.67	0.14	0.19	0.09	1.155e-5	8.701e-4	(A) BLACK OR AFRICAN AMERICAN
CEP170B	14q32.33	0.84	0.86	0.03	0.03	-0.02	1.189e-5	8.890e-4	(B) WHITE
LRRC23	12p13.31	0.33	0.26	0.11	0.10	0.06	1.192e-5	8.890e-4	(A) BLACK OR AFRICAN AMERICAN
NRBP1	2p23.3	0.71	0.80	0.17	0.14	-0.10	1.207e-5	8.960e-4	(B) WHITE
ZSWIM4	19p13.13-p13.12	0.59	0.68	0.16	0.14	-0.09	1.229e-5	9.078e-4	(B) WHITE
TNNT1	19q13.42	0.14	0.10	0.08	0.05	0.04	1.264e-5	9.291e-4	(A) BLACK OR AFRICAN AMERICAN
MSLN	16p13.3	0.70	0.78	0.14	0.09	-0.08	1.293e-5	9.462e-4	(B) WHITE
EIF3M	11p13	0.03	0.04	0.01	0.04	-0.01	1.306e-5	9.482e-4	(B) WHITE
ITPA	20p13	0.12	0.15	0.05	0.05	-0.03	1.308e-5	9.482e-4	(B) WHITE
ALG14	1p21.3	0.81	0.70	0.17	0.20	0.10	1.323e-5	9.544e-4	(A) BLACK OR AFRICAN AMERICAN
IL12B	5q33.3	0.17	0.25	0.14	0.18	-0.08	1.345e-5	9.656e-4	(B) WHITE
MLXIP	12q24.31	0.37	0.52	0.25	0.21	-0.14	1.388e-5	9.921e-4	(B) WHITE
MAP4K4	2q11.2	0.38	0.50	0.21	0.19	-0.12	1.439e-5	1.014e-3	(B) WHITE
RPL22L1	3q26.2	0.69	0.83	0.25	0.15	-0.14	1.439e-5	1.014e-3	(B) WHITE
SFT2D2	1q24.2	0.50	0.63	0.24	0.17	-0.13	1.447e-5	1.014e-3	(B) WHITE
TSSC4	11p15.5	0.08	0.10	0.04	0.04	-0.02	1.450e-5	1.014e-3	(B) WHITE
DNALI1	1p34.3	0.46	0.33	0.22	0.19	0.13	1.458e-5	1.014e-3	(A) BLACK OR AFRICAN AMERICAN
GNB1L	22q11.21	0.91	0.92	0.02	0.02	-0.01	1.459e-5	1.014e-3	(B) WHITE
MAD1L1	7p22.3	0.85	0.87	0.03	0.03	-0.01	1.476e-5	1.021e-3	(B) WHITE
